game_id,week,home_team,away_team,home_line_type,home_pairing_type,away_line_type,away_pairing_type,went_ot,toi,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_penalties_taken,away_penalties_taken,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes
1,1,Richardhaven,Pennytown,top,top,top,top,0,41.01,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,top,top,top,secondary,0,52.16,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,top,top,secondary,0,154.42,3,1,0.1699,0.0663,0.062,0.0663,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,top,secondary,secondary,0,275.68,3,1,0.2462,0.121,0.0933,0.121,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,secondary,secondary,secondary,0,772.58,7,7,0.6788,0.6188,0.1122,0.1116,2,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,secondary,secondary,top,0,369.02,4,2,0.3916,0.1579,0.1072,0.1051,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,top,secondary,top,0,126.96,2,0,0.1492,0.0,0.0785,0.0,1,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,top,top,secondary,top,0,115.43,0,2,0.0,0.1535,0.0,0.0857,0,1,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,top,top,secondary,secondary,0,109.45,2,0,0.1932,0.0,0.1072,0.0,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,top,secondary,top,secondary,0,16.48,1,0,0.0715,0.0,0.0715,0.0,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,secondary,top,secondary,0,341.5,3,1,0.3686,0.0692,0.1449,0.0692,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,top,secondary,secondary,secondary,0,237.25,1,1,0.1064,0.0792,0.1064,0.0792,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,top,top,top,0,43.98,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,top,secondary,secondary,top,0,221.25,3,2,0.2777,0.137,0.0986,0.0754,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,secondary,secondary,top,top,0,102.51,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,PK,PK,PP,PP,0,360.0,2,1,0.1652,0.0895,0.0949,0.0895,1,0,3,2,2,3,6,4
1,1,Richardhaven,Pennytown,top,secondary,top,top,0,31.2,0,1,0.0,0.0627,0.0,0.0627,0,0,0,0,0,0,0,0
1,1,Richardhaven,Pennytown,PP,PP,PK,PK,0,229.11,4,0,0.5102,0.0,0.1365,0.0,0,0,1,2,2,1,2,4
2,1,Davistown,Port Kristieberg,top,top,top,top,0,43.67,1,0,0.0739,0.0,0.0739,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,top,top,secondary,top,0,8.06,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,top,secondary,secondary,top,0,7.45,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,secondary,secondary,secondary,top,0,407.93,1,1,0.1131,0.0982,0.1131,0.0982,1,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,secondary,secondary,secondary,secondary,0,677.11,2,5,0.2664,0.6293,0.1478,0.1663,1,1,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,secondary,top,secondary,secondary,0,476.57,2,1,0.2443,0.0664,0.1252,0.0664,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,secondary,top,secondary,top,0,12.76,0,1,0.0,0.1842,0.0,0.1842,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,PP,PP,PK,PK,0,780.0,7,1,1.1921,0.0679,0.1783,0.0679,1,0,1,5,5,1,2,13
2,1,Davistown,Port Kristieberg,PK,PK,PP,PP,0,525.59,4,7,0.2687,1.0635,0.075,0.2195,0,0,7,0,0,7,20,0
2,1,Davistown,Port Kristieberg,secondary,secondary,top,secondary,0,33.07,0,1,0.0,0.1158,0.0,0.1158,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,secondary,top,top,secondary,0,73.72,1,0,0.1086,0.0,0.1086,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,secondary,top,top,top,0,7.77,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,secondary,secondary,top,top,0,33.71,1,0,0.106,0.0,0.106,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,top,secondary,top,top,0,151.12,1,0,0.0828,0.0,0.0828,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,top,secondary,secondary,secondary,0,92.22,1,1,0.075,0.1475,0.075,0.1475,0,1,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,top,secondary,top,secondary,0,153.4,2,0,0.1927,0.0,0.1019,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,top,top,top,secondary,0,75.74,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,Davistown,Port Kristieberg,top,top,secondary,secondary,0,40.1,1,0,0.0875,0.0,0.0875,0.0,1,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,top,top,top,top,0,48.64,0,1,0.0,0.1155,0.0,0.1155,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,PP,PP,PK,PK,0,407.34,6,2,0.8806,0.1995,0.2131,0.1056,2,0,1,4,4,1,2,8
3,1,West Susanchester,Lake David,top,top,top,secondary,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,secondary,secondary,secondary,secondary,0,427.33,8,2,0.5561,0.2877,0.1096,0.174,0,2,0,0,0,0,0,0
3,1,West Susanchester,Lake David,secondary,secondary,secondary,top,0,372.52,5,0,0.3174,0.0,0.1286,0.0,2,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,secondary,top,top,secondary,0,198.63,3,0,0.2836,0.0,0.1289,0.0,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,PK,PK,PP,PP,0,682.92,0,6,0.0,1.1596,0.0,0.2402,0,1,7,1,1,7,14,2
3,1,West Susanchester,Lake David,secondary,top,secondary,secondary,0,326.52,3,1,0.1977,0.0678,0.0694,0.0678,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,secondary,secondary,top,secondary,0,221.57,4,0,0.1625,0.0,0.049,0.0,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,top,secondary,secondary,top,0,163.25,2,2,0.1696,0.2316,0.0863,0.1199,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,top,secondary,secondary,secondary,0,283.23,2,2,0.166,0.2224,0.088,0.1166,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,secondary,secondary,top,top,0,96.83,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3,1,West Susanchester,Lake David,top,top,secondary,secondary,0,137.83,1,0,0.1121,0.0,0.1121,0.0,0,0,0,0,0,0,0,0
