rank,player,position,team,offense,defense,stamina,discipline,total
1,David Rogers,D,Iceland,0.6870548707416084,3.1521207769270494,0.8432352342794361,-0.027608577250635896,3.839175647668658
2,Joseph Wells,F,Italy,0.8449214185277115,2.8796554277948343,-0.7651790512693498,2.6671042471923205,3.7245768463225457
3,Joel Rodriguez,D,French Polynesia,-0.39278422950930286,2.788660849644011,-2.945052821164862,1.2752395775304501,2.395876620134708
4,James Miles,D,Canada,-1.1515370717809472,2.780693289264474,-0.3224384436107694,-0.033494263978336075,1.6291562174835268
5,George Valencia,F,Rwanda,-0.11474502442890736,2.59162710797206,0.685385838637535,0.25805901870122316,2.4768820835431526
6,Jesse Suarez,G,Macao,-1.4734426084241932,2.470319054066138,0.5555147996418887,-0.1295645997697926,0.996876445641945
7,Thomas Owens,F,Syrian Arab Republic,0.28020310035002605,2.38074906155173,-1.4502016954152979,0.2693781384806518,2.660952161901756
8,Michael Ford,F,Iceland,0.6651525225947977,2.3538499914127247,-0.36226790149337024,0.9260195912214663,3.0190025140075223
9,Charles Smith,D,Macao,0.7205157742027094,2.2842044578437792,-0.21185949610741014,0.24990722108226687,3.0047202320464885
10,Jake Wood,D,Anguilla,-0.33287026942802916,2.2756996083747874,1.2443616465264342,0.7985182823850673,1.9428293389467581
11,Ryan Mueller,F,Jordan,1.493928556878137,2.223009909038242,0.6369033610164294,-0.23797537905645622,3.716938465916379
12,Zachary Mack,D,Madagascar,0.9495963680267375,2.1859692216429063,-0.5365784419044011,-1.7194180394244023,3.135565589669644
13,Peter Mccarthy,D,Solomon Islands,-1.2948133030080262,2.1506099743245763,-1.1786092185675738,0.030607551265929775,0.8557966713165501
14,Kelly Hanna,F,Suriname,1.3434156444877483,2.091757332249433,1.0401385072632314,-0.46769292186762096,3.4351729767371815
15,Christopher Reynolds,F,Iceland,2.078633719664941,2.0795710923215633,-0.9898026957646858,-1.1423245433763303,4.158204811986504
16,Philip Jones,F,Czech Republic,-0.33975983257455317,2.0708476699719123,-1.503403044287374,0.34213819461286,1.731087837397359
17,Scott Joyce,F,Luxembourg,0.4042013367365008,2.030292798677748,0.4293412614694474,-0.3346948219343926,2.434494135414249
18,Michael Nguyen,F,Cocos (Keeling) Islands,-1.658645761538371,2.0201768311865416,0.08877946967091332,-0.11087140203688803,0.3615310696481706
19,Matthew White,F,Suriname,-0.5834041422145444,2.0030924649549298,0.344416153273278,0.9259197519622803,1.4196883227403854
20,Taylor Price,F,Luxembourg,-0.20723420640817497,1.997145733078534,-0.10730490587764478,1.250566050684722,1.7899115266703591
21,Jesus Watkins,F,Jordan,0.7909159683614566,1.9894681002997803,-0.2302445301846545,0.7871166225592484,2.780384068661237
22,Eric Foster,F,Suriname,0.1443193523068439,1.9820242241922494,-0.11132235487861444,0.26819552634000515,2.1263435764990932
23,Casey Bowers,F,Norway,1.647542292289033,1.9709925598612485,-0.1836090731807832,-0.49009703762836326,3.6185348521502814
24,Michael Harmon,F,Canada,0.47884913246201505,1.9291883553281746,0.2560761036617947,-1.5667561986946896,2.40803748779019
25,Philip Carroll,D,Saint Barthelemy,0.47355835568229365,1.9245501470058433,0.9615434567348027,0.8871417160141674,2.398108502688137
26,Scott Huerta,F,Zambia,-0.9425834226480337,1.9181420593394218,-0.6428358191118873,-0.9726341342012527,0.9755586366913881
27,Brian Long,D,Italy,-0.4991906595933301,1.9076670062992824,1.3635308851727939,0.34114404710554147,1.4084763467059522
28,Allen Williams,F,Macao,-0.549896412766793,1.907404595185834,-0.6667915992618065,1.5712104647908534,1.357508182419041
29,Philip Herrera,D,Czech Republic,0.39573856930326196,1.89888362708283,0.13101864251203965,-0.7880493041141343,2.2946221963860918
30,Daniel Hays,D,Holy See (Vatican City State),-1.9785085938633462,1.8733378616328287,1.1217052991203649,1.6125188155115082,-0.10517073223051754
31,John Kennedy,F,Holy See (Vatican City State),0.13967995579705417,1.8472829358209755,-0.695399317691224,-0.18635160929809672,1.9869628916180297
32,Ronald Rice,D,Bhutan,-0.2379549532289049,1.8376601505494252,-0.7277169698788439,-1.7067725213830958,1.5997051973205203
33,Joel Wright,D,Ethiopia,0.13392401097285642,1.7880533965887278,-0.20561188282809442,0.21117441132276657,1.921977407561584
