rank,player,position,team,offense,defense,stamina,discipline,total
1,James Garcia,F,Robertsonport,1.5663078060127598,-0.7354313998252315,-0.5108624848589857,2.82819024075188,0.8308764061875282
2,Joseph Wells,F,New Jose,0.8449214185277115,2.8796554277948343,-0.7651790512693498,2.6671042471923205,3.7245768463225457
3,Mario Jones,D,Bensonshire,-0.42811039204387824,-0.4484508486766146,0.9315686741756436,2.3697632738226977,-0.8765612407204928
4,Mario Maldonado,F,Bobbyborough,-0.09953400952013859,0.9631537314908466,-0.07896823264696544,2.348297596439303,0.863619721970708
5,Matthew Rubio,D,Port Lisa,-0.07958973355189147,0.9726342561790308,-2.098579485281042,2.3337666614921284,0.8930445226271393
6,Joshua Smith,F,Montgomeryburgh,0.8201099459165129,0.27254310960027067,-0.25331110346511504,2.2966432563341943,1.0926530555167835
7,Bryan Ware,D,Codyfurt,-0.5321304384697496,0.31091289009651996,1.4068269819199049,2.2113287518015268,-0.22121754837322966
8,Timothy Schwartz,D,North Garymouth,0.7788250119430101,-0.15472748756687119,1.9236831754277035,2.2070772682603006,0.624097524376139
9,Travis Yang,D,West Patriciaside,0.6923119952468265,0.8404799301846012,-0.25554940035423557,2.136003872711505,1.5327919254314277
10,David Gray,F,Bensonshire,-0.6844616518383616,-0.8980499484550389,-0.12215692585732464,2.078795022192107,-1.5825116002934005
11,Scott Pope,F,Port Haroldberg,0.5602555507894792,-0.7083713144936722,1.4394450629813769,2.0683034704804735,-0.148115763704193
12,Austin Potter,F,Amberfurt,-1.0254847950229082,-1.0820213983369753,-1.2633148290708538,2.029627361924716,-2.1075061933598835
13,David Nash,D,West Robertfort,0.2388301228893974,1.5966746680601824,-0.26289285000479423,2.0204834263450504,1.8355047909495799
14,Kevin Lawson,F,New Jose,-0.9465784372063534,-0.23181261148122057,-0.17170310498287147,1.9962371782213948,-1.178391048687574
15,Justin Bond,F,Port Stacey,-0.10274137793754111,0.00980525947852458,-1.5220926001562007,1.976789965078184,-0.09293611845901653
16,Luis Morris,D,Port Lisa,-1.049045458411691,0.26783666000941586,0.7157644108533116,1.9683015702622038,-0.7812087984022752
17,Christopher Gutierrez,F,New Jose,0.7892936903130905,-0.5490858196652197,0.6724595281351944,1.8527149779077499,0.24020787064787075
18,Scott Mitchell,G,Laurenview,-0.1259453211351513,0.5020531875128943,-2.2109612682903137,1.852421319165246,0.37610786637774296
19,Daniel Fox,G,Debraside,0.6726531662129341,0.8434516089137767,-0.9237378625326599,1.8116791274067925,1.5161047751267107
20,Chad Wright,F,Port Scott,-0.9746688796098372,-1.2531998234722728,-0.7029343337146237,1.80857062162202,-2.22786870308211
21,Jerome Stephens,F,Barnesport,0.34283980074030596,-0.9542621063264747,0.5548829340820243,1.8049397380200718,-0.6114223055861687
22,Dustin Gibson,F,Debraside,-0.333622237946771,-1.16756703267933,1.6722795197289109,1.7697616126650144,-1.501189270626101
23,Harry Stone,F,Codyfurt,0.5380535780994251,-0.6070640031748532,-0.5646788596802704,1.762646477397742,-0.0690104250754281
24,Tyler Bradford,D,West Patriciaside,1.1570158364187448,-1.0084175249338354,0.4978454730411996,1.7038482339214132,0.14859831148490943
25,Daniel Hays,D,Bobbyborough,-1.9785085938633462,1.8733378616328287,1.1217052991203649,1.6125188155115082,-0.10517073223051754
26,Craig Davis,F,Amberfurt,0.8629631894644291,-0.9959599780712098,-1.2215642147085448,1.6064896838138571,-0.13299678860678077
27,David Nichols,D,Robertsonport,-1.9940479225835688,-1.0312304581857292,0.3674910650968243,1.5888017694834,-3.025278380769298
28,Shawn Johnson,F,Port Christiebury,-0.38148464241172675,1.1987409744433624,-0.14919976094522516,1.5767966365699295,0.8172563320316356
29,Allen Williams,F,West Patriciaside,-0.549896412766793,1.907404595185834,-0.6667915992618065,1.5712104647908534,1.357508182419041
30,Samuel Schmitt,G,Kramerville,-0.4303832283695017,0.05441336098867798,0.6540353371071491,1.5680891272003612,-0.3759698673808237
31,Tyler Wolfe,F,West Robertfort,-0.7251194762778006,-0.2107960685120865,1.9036283004702768,1.5542895704981634,-0.935915544789887
32,Brandon Todd,F,Riosstad,-0.5936283233591448,0.18403898490457604,-0.5232454391384959,1.5433014155750773,-0.4095893384545688
33,Jeremy Morgan,F,Lake Eric,-1.2700805238328994,-2.0202579741728157,-0.8054310829323421,1.5418978192727388,-3.290338498005715
34,John Henderson,F,New Jeffrey,1.4766154702598795,-0.814907429921373,-1.1105121340263369,1.5263816181131944,0.6617080403385065
35,Tyler Strickland,F,West Patriciaside,-1.7613329426823334,-0.720131061536723,0.23190890534802636,1.5152909864740263,-2.4814640042190566
36,Timothy Morris,F,Theodoreberg,-0.49035532371622265,-0.46880546881488183,0.9706810958995501,1.5132850805915354,-0.9591607925311045
37,Keith Brown,D,Pachecofurt,-0.44156431842956956,0.844257829946458,-0.8034972882173124,1.502912505506632,0.4026935115168885
38,Mark Johnston,F,New Jeffrey,-2.8319565342268866,-1.4711189662349653,0.7088180091568816,1.4975068435527803,-4.303075500461852
39,Hayden Miller,G,Port Lisa,-1.0128372407869621,-0.13949052026065198,-0.7899285915797084,1.481173048666529,-1.1523277610476141
40,Justin Watts,F,New Paul,-0.9937867443211156,-0.048129314669391604,1.079460657713646,1.4573741427779672,-1.0419160589905072
41,Scott Delgado,G,Port Shannon,-0.8289389137419848,0.7950094738549961,-1.6267554871921255,1.437041158186537,-0.03392943988698871
42,Robert Smith,F,Pachecofurt,-1.0216140478646087,-0.13453833514577543,-0.8368023966949455,1.4282258551894098,-1.1561523830103841
43,Matthew Davis,G,Amberfurt,-1.1770362881488994,-0.1854231838024931,-0.9996370130229829,1.424362374075185,-1.3624594719513925
44,Michael Barrett,D,Port Haroldberg,0.49804133237044834,1.040064907214711,0.17739373101473227,1.4235261016485576,1.5381062395851592
45,Jeremiah Brooks,D,Robertsonport,0.5346904220562853,1.0669965130927552,1.3682513879780054,1.4167198050047463,1.6016869351490404
46,Robert Wheeler,F,North Keithchester,0.587096280067527,-0.5624098741837893,-0.7812888691576475,1.4096391990535215,0.024686405883737716
47,Spencer Nelson,D,New Jeffrey,-2.5252234604863233,-0.42041336613816005,1.5068993473559547,1.3925472068365652,-2.9456368266244835
48,Paul Fisher,F,Lake Eric,0.5776602822391159,-1.7140130278866594,-2.364512550392318,1.3800542609244209,-1.1363527456475435
49,Timothy Stephens,D,Port Haroldberg,0.903932842503194,-0.3935975188448427,0.3494913577422832,1.362292020361256,0.5103353236583512
50,Andrew Hoffman,F,North Garymouth,1.085354954511449,-1.1309336582410192,-1.12584136034188,1.3621073753888184,-0.04557870372957029
