game_id,week,home_team,away_team,home_score,away_score,went_ot,winner,loser
1,1,Kramerville,Theodoreberg,7,4,0,Kramerville,Theodoreberg
2,1,Port Christiebury,Codyfurt,4,2,0,Port Christiebury,Codyfurt
3,1,New Jose,West Patriciaside,2,3,1,West Patriciaside,New Jose
4,1,Port Shannon,Bobbyborough,6,1,0,Port Shannon,Bobbyborough
5,1,West Robertfort,Port Scott,2,3,1,Port Scott,West Robertfort
6,1,Millerport,Riosstad,4,2,0,Millerport,Riosstad
7,1,Debraside,North Garymouth,2,3,0,North Garymouth,Debraside
8,1,Port Stacey,Pachecofurt,4,1,0,Port Stacey,Pachecofurt
9,1,Port Lisa,Lake Eric,5,2,0,Port Lisa,Lake Eric
10,1,Torresport,Port Haroldberg,1,5,0,Port Haroldberg,Torresport
11,1,Montgomeryburgh,Amberfurt,2,4,0,Amberfurt,Montgomeryburgh
12,1,New Paul,Laurenview,4,2,0,New Paul,Laurenview
13,1,North Keithchester,Barnesport,2,5,0,Barnesport,North Keithchester
14,1,Williamview,Bensonshire,2,0,0,Williamview,Bensonshire
15,1,New Jeffrey,Robertsonport,1,5,0,Robertsonport,New Jeffrey
16,2,Torresport,Port Shannon,4,1,0,Torresport,Port Shannon
17,2,New Paul,Port Christiebury,4,3,0,New Paul,Port Christiebury
18,2,New Jose,West Robertfort,2,5,0,West Robertfort,New Jose
19,2,Debraside,North Keithchester,3,2,0,Debraside,North Keithchester
20,2,Kramerville,Codyfurt,2,3,1,Codyfurt,Kramerville
21,2,Barnesport,Port Lisa,3,2,0,Barnesport,Port Lisa
22,2,Williamview,Montgomeryburgh,1,4,0,Montgomeryburgh,Williamview
23,2,Amberfurt,Pachecofurt,5,3,0,Amberfurt,Pachecofurt
24,2,Riosstad,Port Haroldberg,0,4,0,Port Haroldberg,Riosstad
25,2,Bobbyborough,Laurenview,3,2,0,Bobbyborough,Laurenview
26,2,Lake Eric,Robertsonport,2,5,0,Robertsonport,Lake Eric
27,2,West Patriciaside,Theodoreberg,3,0,0,West Patriciaside,Theodoreberg
28,2,North Garymouth,Port Scott,3,2,1,North Garymouth,Port Scott
29,2,Millerport,Bensonshire,6,2,0,Millerport,Bensonshire
30,2,New Jeffrey,Port Stacey,2,6,0,Port Stacey,New Jeffrey
31,3,Port Haroldberg,West Robertfort,0,2,0,West Robertfort,Port Haroldberg
32,3,New Jose,Lake Eric,1,2,0,Lake Eric,New Jose
33,3,Bobbyborough,Port Christiebury,1,2,0,Port Christiebury,Bobbyborough
34,3,Robertsonport,Debraside,2,3,1,Debraside,Robertsonport
35,3,Port Lisa,Laurenview,4,3,1,Port Lisa,Laurenview
36,3,Amberfurt,Williamview,4,2,0,Amberfurt,Williamview
37,3,Pachecofurt,Bensonshire,4,5,1,Bensonshire,Pachecofurt
38,3,Port Scott,Codyfurt,5,1,0,Port Scott,Codyfurt
39,3,Millerport,Port Shannon,6,2,0,Millerport,Port Shannon
40,3,Kramerville,New Jeffrey,6,2,0,Kramerville,New Jeffrey
41,3,New Paul,Port Stacey,5,1,0,New Paul,Port Stacey
42,3,Montgomeryburgh,Barnesport,3,2,1,Montgomeryburgh,Barnesport
43,3,Riosstad,Torresport,2,3,1,Torresport,Riosstad
44,3,North Garymouth,Theodoreberg,2,4,0,Theodoreberg,North Garymouth
45,3,West Patriciaside,North Keithchester,4,3,1,West Patriciaside,North Keithchester
46,4,Kramerville,Port Christiebury,3,1,0,Kramerville,Port Christiebury
47,4,New Paul,Lake Eric,3,1,0,New Paul,Lake Eric
48,4,Williamview,Pachecofurt,2,3,1,Pachecofurt,Williamview
49,4,West Robertfort,Theodoreberg,3,2,0,West Robertfort,Theodoreberg
50,4,Bobbyborough,Port Shannon,5,3,0,Bobbyborough,Port Shannon
51,4,Laurenview,Barnesport,5,6,1,Barnesport,Laurenview
52,4,Robertsonport,West Patriciaside,1,3,0,West Patriciaside,Robertsonport
53,4,Amberfurt,Port Lisa,8,0,0,Amberfurt,Port Lisa
54,4,Bensonshire,Codyfurt,4,0,0,Bensonshire,Codyfurt
55,4,Montgomeryburgh,New Jose,6,3,0,Montgomeryburgh,New Jose
56,4,Debraside,Riosstad,1,3,0,Riosstad,Debraside
57,4,Torresport,Port Scott,4,2,0,Torresport,Port Scott
58,4,Port Stacey,Port Haroldberg,5,4,1,Port Stacey,Port Haroldberg
59,4,North Garymouth,New Jeffrey,2,3,1,New Jeffrey,North Garymouth
60,4,Millerport,North Keithchester,5,3,0,Millerport,North Keithchester
61,5,Lake Eric,Williamview,0,4,0,Williamview,Lake Eric
62,5,Laurenview,Port Christiebury,1,2,1,Port Christiebury,Laurenview
63,5,Pachecofurt,Port Scott,0,2,0,Port Scott,Pachecofurt
64,5,Debraside,Bobbyborough,2,1,0,Debraside,Bobbyborough
65,5,West Robertfort,Port Haroldberg,4,0,0,West Robertfort,Port Haroldberg
66,5,Barnesport,Port Shannon,2,5,0,Port Shannon,Barnesport
67,5,Port Stacey,West Patriciaside,3,4,0,West Patriciaside,Port Stacey
68,5,Kramerville,Montgomeryburgh,3,2,1,Kramerville,Montgomeryburgh
69,5,New Jose,Codyfurt,4,3,1,New Jose,Codyfurt
70,5,North Garymouth,Port Lisa,6,1,0,North Garymouth,Port Lisa
71,5,Theodoreberg,Robertsonport,3,4,0,Robertsonport,Theodoreberg
72,5,North Keithchester,New Paul,4,1,0,North Keithchester,New Paul
73,5,Bensonshire,Amberfurt,8,1,0,Bensonshire,Amberfurt
74,5,Riosstad,Millerport,1,2,0,Millerport,Riosstad
75,5,Torresport,New Jeffrey,7,3,0,Torresport,New Jeffrey
76,6,Port Christiebury,Robertsonport,1,3,0,Robertsonport,Port Christiebury
77,6,Williamview,Amberfurt,3,2,1,Williamview,Amberfurt
78,6,Pachecofurt,North Keithchester,1,0,0,Pachecofurt,North Keithchester
79,6,Kramerville,Port Haroldberg,2,1,0,Kramerville,Port Haroldberg
80,6,Laurenview,New Paul,1,2,0,New Paul,Laurenview
81,6,Port Scott,Barnesport,5,4,0,Port Scott,Barnesport
82,6,Riosstad,Port Shannon,1,2,0,Port Shannon,Riosstad
83,6,West Robertfort,Montgomeryburgh,2,1,1,West Robertfort,Montgomeryburgh
84,6,Bensonshire,Debraside,4,2,0,Bensonshire,Debraside
85,6,Codyfurt,New Jeffrey,2,5,0,New Jeffrey,Codyfurt
86,6,Port Lisa,Torresport,2,5,0,Torresport,Port Lisa
