game_id,week,home_team,away_team,home_score,away_score,went_ot,winner,loser
1,1,China,Kazakhstan,2,3,0,Kazakhstan,China
2,1,Denmark,Poland,4,3,1,Denmark,Poland
3,1,Great Britain,Canada,4,5,1,Canada,Great Britain
4,1,Ukraine,Norway,3,2,1,Ukraine,Norway
5,1,Belarus,Russia,2,3,1,Russia,Belarus
6,1,Netherlands,Croatia,3,2,0,Netherlands,Croatia
7,1,Slovenia,Finland,1,6,0,Finland,Slovenia
8,1,Czech Republic,Japan,4,1,0,Czech Republic,Japan
9,1,Austria,France,4,7,0,France,Austria
10,1,Italy,Germany,1,4,0,Germany,Italy
11,1,Sweden,Switzerland,4,3,0,Sweden,Switzerland
12,1,Hungary,South Korea,1,7,0,South Korea,Hungary
13,1,Belgium,United States,2,5,0,United States,Belgium
14,1,Estonia,Latvia,3,2,0,Estonia,Latvia
15,1,Lithuania,Romania,3,2,0,Lithuania,Romania
16,1,Spain,Slovakia,2,1,1,Spain,Slovakia
17,2,Denmark,Russia,3,5,0,Russia,Denmark
18,2,Austria,Poland,1,5,0,Poland,Austria
19,2,Croatia,Spain,4,8,0,Spain,Croatia
20,2,Canada,Norway,3,2,1,Canada,Norway
21,2,Sweden,Kazakhstan,1,5,0,Kazakhstan,Sweden
22,2,Great Britain,United States,2,5,0,United States,Great Britain
23,2,Japan,Belarus,4,5,1,Belarus,Japan
24,2,Slovenia,Italy,5,7,0,Italy,Slovenia
25,2,China,Belgium,1,5,0,Belgium,China
26,2,Estonia,Czech Republic,5,0,0,Estonia,Czech Republic
27,2,Finland,Switzerland,2,6,0,Switzerland,Finland
28,2,Ukraine,Germany,3,2,1,Ukraine,Germany
29,2,Latvia,France,5,4,1,Latvia,France
30,2,Netherlands,South Korea,2,1,1,Netherlands,South Korea
31,2,Hungary,Slovakia,0,2,0,Slovakia,Hungary
32,2,Romania,Lithuania,1,3,0,Lithuania,Romania
33,3,Czech Republic,Russia,1,2,0,Russia,Czech Republic
34,3,Croatia,Hungary,3,2,0,Croatia,Hungary
35,3,Belgium,Denmark,6,1,0,Belgium,Denmark
36,3,Spain,China,3,5,0,China,Spain
37,3,Italy,France,4,5,0,France,Italy
38,3,Canada,Estonia,2,1,1,Canada,Estonia
39,3,Japan,South Korea,4,5,0,South Korea,Japan
40,3,Netherlands,Finland,2,3,1,Finland,Netherlands
41,3,Lithuania,Austria,2,1,0,Lithuania,Austria
42,3,United States,Kazakhstan,2,1,0,United States,Kazakhstan
43,3,Poland,Slovakia,4,3,1,Poland,Slovakia
44,3,Belarus,Slovenia,2,3,0,Slovenia,Belarus
45,3,Switzerland,Romania,6,1,0,Switzerland,Romania
46,3,Norway,Ukraine,5,4,1,Norway,Ukraine
47,3,Sweden,Germany,6,4,0,Sweden,Germany
48,3,Great Britain,Latvia,5,4,0,Great Britain,Latvia
49,4,Slovenia,Russia,2,5,0,Russia,Slovenia
50,4,Czech Republic,Lithuania,2,0,0,Czech Republic,Lithuania
51,4,Ukraine,Denmark,4,2,0,Ukraine,Denmark
52,4,France,Estonia,2,4,0,Estonia,France
53,4,Austria,Sweden,5,6,1,Sweden,Austria
54,4,China,Croatia,1,3,0,Croatia,China
55,4,Italy,Germany,6,1,0,Italy,Germany
56,4,Finland,Great Britain,2,4,0,Great Britain,Finland
57,4,South Korea,Norway,2,7,0,Norway,South Korea
58,4,Latvia,Hungary,4,1,0,Latvia,Hungary
59,4,Spain,Canada,5,0,0,Spain,Canada
60,4,Slovakia,Japan,3,2,1,Slovakia,Japan
61,4,Belarus,Kazakhstan,3,2,1,Belarus,Kazakhstan
62,4,United States,Switzerland,2,3,1,Switzerland,United States
63,4,Poland,Netherlands,4,3,1,Poland,Netherlands
64,4,Belgium,Romania,1,2,0,Romania,Belgium
65,5,Sweden,Russia,2,6,0,Russia,Sweden
66,5,Norway,Denmark,6,0,0,Norway,Denmark
67,5,Slovenia,Croatia,4,5,0,Croatia,Slovenia
68,5,Austria,South Korea,2,7,0,South Korea,Austria
69,5,Latvia,Italy,2,5,0,Italy,Latvia
70,5,Estonia,China,0,1,0,China,Estonia
71,5,Belgium,Great Britain,2,3,1,Great Britain,Belgium
72,5,Germany,Czech Republic,4,2,0,Germany,Czech Republic
73,5,Finland,United States,5,2,0,Finland,United States
74,5,Spain,France,2,6,0,France,Spain
75,5,Japan,Lithuania,1,2,1,Lithuania,Japan
76,5,Ukraine,Belarus,3,0,0,Ukraine,Belarus
77,5,Netherlands,Canada,6,7,0,Canada,Netherlands
78,5,Poland,Switzerland,1,3,0,Switzerland,Poland
79,5,Romania,Slovakia,2,3,1,Slovakia,Romania
80,5,Hungary,Kazakhstan,5,4,1,Hungary,Kazakhstan
81,6,Lithuania,Russia,2,3,0,Russia,Lithuania
82,6,Denmark,Belgium,4,5,0,Belgium,Denmark
83,6,France,Sweden,6,4,0,France,Sweden
84,6,Belarus,Norway,1,2,0,Norway,Belarus
85,6,China,Hungary,4,3,1,China,Hungary
86,6,Austria,Switzerland,6,2,0,Austria,Switzerland
87,6,Czech Republic,Slovakia,2,4,0,Slovakia,Czech Republic
88,6,Germany,South Korea,1,2,1,South Korea,Germany
89,6,Slovenia,Spain,1,0,0,Slovenia,Spain
90,6,Italy,Romania,2,3,1,Romania,Italy
91,6,Kazakhstan,Japan,4,3,0,Kazakhstan,Japan
92,6,Great Britain,United States,4,2,0,Great Britain,United States
93,6,Poland,Croatia,3,5,0,Croatia,Poland
94,6,Finland,Canada,2,3,0,Canada,Finland
95,6,Estonia,Latvia,4,1,0,Estonia,Latvia
96,6,Netherlands,Ukraine,5,3,0,Netherlands,Ukraine
97,7,Russia,Austria,4,3,0,Russia,Austria
98,7,Denmark,Great Britain,3,4,0,Great Britain,Denmark
99,7,Belgium,China,3,2,0,Belgium,China
100,7,Slovakia,Sweden,2,4,0,Sweden,Slovakia
101,7,Norway,France,5,1,0,Norway,France
102,7,Spain,Finland,2,3,1,Finland,Spain
103,7,Japan,Canada,0,5,0,Canada,Japan
104,7,Lithuania,Ukraine,2,4,0,Ukraine,Lithuania
105,7,Croatia,South Korea,8,0,0,Croatia,South Korea
106,7,Kazakhstan,Italy,1,4,0,Italy,Kazakhstan
107,7,Estonia,Slovenia,8,2,0,Estonia,Slovenia
108,7,Switzerland,Germany,2,3,1,Germany,Switzerland
109,7,United States,Poland,3,1,0,United States,Poland
110,7,Hungary,Latvia,4,5,0,Latvia,Hungary
111,7,Belarus,Romania,0,1,0,Romania,Belarus
112,7,Netherlands,Czech Republic,6,4,0,Netherlands,Czech Republic
113,8,Russia,Canada,2,1,0,Russia,Canada
114,8,Sweden,Denmark,4,7,0,Denmark,Sweden
115,8,Kazakhstan,China,4,5,1,China,Kazakhstan
116,8,Belgium,Estonia,3,5,0,Estonia,Belgium
117,8,Finland,France,4,3,1,Finland,France
118,8,South Korea,Spain,2,3,1,Spain,South Korea
119,8,Slovakia,Slovenia,5,4,0,Slovakia,Slovenia
120,8,Austria,Norway,2,5,0,Norway,Austria
121,8,Ukraine,Italy,2,3,0,Italy,Ukraine
122,8,Hungary,Japan,0,4,0,Japan,Hungary
123,8,Belarus,Germany,2,1,1,Belarus,Germany
124,8,Switzerland,Lithuania,2,4,0,Lithuania,Switzerland
125,8,Netherlands,Great Britain,1,6,0,Great Britain,Netherlands
126,8,United States,Latvia,3,2,1,United States,Latvia
127,8,Croatia,Romania,5,1,0,Croatia,Romania
128,8,Poland,Czech Republic,3,2,0,Poland,Czech Republic
129,9,Norway,Russia,1,2,0,Russia,Norway
130,9,Denmark,Ukraine,4,5,1,Ukraine,Denmark
131,9,Estonia,Belgium,4,1,0,Estonia,Belgium
132,9,France,Japan,4,3,0,France,Japan
133,9,Hungary,China,0,5,0,China,Hungary
134,9,Austria,Switzerland,1,5,0,Switzerland,Austria
135,9,Sweden,Finland,1,2,1,Finland,Sweden
136,9,Slovakia,Croatia,3,5,0,Croatia,Slovakia
137,9,Lithuania,Poland,4,3,1,Lithuania,Poland
138,9,Kazakhstan,South Korea,1,3,0,South Korea,Kazakhstan
139,9,Canada,Great Britain,4,5,1,Great Britain,Canada
140,9,Slovenia,Germany,3,2,1,Slovenia,Germany
141,9,Latvia,Belarus,2,3,0,Belarus,Latvia
142,9,Czech Republic,Romania,1,2,0,Romania,Czech Republic
143,9,Spain,Italy,2,3,1,Italy,Spain
144,9,Netherlands,United States,3,4,0,United States,Netherlands
145,10,Russia,Hungary,2,5,0,Hungary,Russia
146,10,Slovakia,Belgium,3,2,0,Slovakia,Belgium
147,10,Canada,Norway,1,2,0,Norway,Canada
148,10,China,Ukraine,2,3,0,Ukraine,China
149,10,France,Italy,1,4,0,Italy,France
150,10,Austria,Denmark,5,4,0,Austria,Denmark
151,10,Latvia,Finland,1,4,0,Finland,Latvia
152,10,Slovenia,Japan,1,6,0,Japan,Slovenia
153,10,Spain,Sweden,7,4,0,Spain,Sweden
154,10,Romania,Switzerland,1,3,0,Switzerland,Romania
