matchweek,home_team,away_team
1,China,Kazakhstan
1,Denmark,Poland
1,Great Britain,Canada
1,Ukraine,Norway
1,Belarus,Russia
1,Netherlands,Croatia
1,Slovenia,Finland
1,Czech Republic,Japan
1,Austria,France
1,Italy,Germany
1,Sweden,Switzerland
1,Hungary,South Korea
1,Belgium,United States
1,Estonia,Latvia
1,Lithuania,Romania
1,Spain,Slovakia
2,Denmark,Russia
2,Austria,Poland
2,Croatia,Spain
2,Canada,Norway
2,Sweden,Kazakhstan
2,Great Britain,United States
2,Japan,Belarus
2,Slovenia,Italy
2,China,Belgium
2,Estonia,Czech Republic
2,Finland,Switzerland
2,Ukraine,Germany
2,Latvia,France
2,Netherlands,South Korea
2,Hungary,Slovakia
2,Romania,Lithuania
3,Czech Republic,Russia
3,Croatia,Hungary
3,Belgium,Denmark
3,Spain,China
3,Italy,France
3,Canada,Estonia
3,Japan,South Korea
3,Netherlands,Finland
3,Lithuania,Austria
3,United States,Kazakhstan
3,Poland,Slovakia
3,Belarus,Slovenia
3,Switzerland,Romania
3,Norway,Ukraine
3,Sweden,Germany
3,Great Britain,Latvia
4,Slovenia,Russia
4,Czech Republic,Lithuania
4,Ukraine,Denmark
4,France,Estonia
4,Austria,Sweden
4,China,Croatia
4,Italy,Germany
4,Finland,Great Britain
4,South Korea,Norway
4,Latvia,Hungary
4,Spain,Canada
4,Slovakia,Japan
4,Belarus,Kazakhstan
4,United States,Switzerland
4,Poland,Netherlands
4,Belgium,Romania
5,Sweden,Russia
5,Norway,Denmark
5,Slovenia,Croatia
5,Austria,South Korea
5,Latvia,Italy
5,Estonia,China
5,Belgium,Great Britain
5,Germany,Czech Republic
5,Finland,United States
5,Spain,France
5,Japan,Lithuania
5,Ukraine,Belarus
5,Netherlands,Canada
5,Poland,Switzerland
5,Romania,Slovakia
5,Hungary,Kazakhstan
6,Lithuania,Russia
6,Denmark,Belgium
6,France,Sweden
6,Belarus,Norway
6,China,Hungary
6,Switzerland,Austria
6,Czech Republic,Slovakia
6,Germany,South Korea
6,Slovenia,Spain
6,Italy,Romania
6,Kazakhstan,Japan
