rank,player,position,team,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
1,Jeremy Collins,F,Nelsonhaven,3.2114590812601107,1.182366800116363,0.26836236460211604,0.43561504071579,0.0,1.182755420643196,0.28253009408180996,5.09780328669438
2,John Donovan,F,North Connorchester,2.7594054858961994,0.03222435072981197,0.5887939592373302,0.5379672759310832,0.0,1.0804518239471785,-0.8191767106985095,3.9183910717944253
3,Randy Hernandez,D,South Kelseyton,2.52786447249108,-1.2890106024142596,-0.5196748845992768,1.402912000451922,0.0,-0.9977089004869276,0.8158981937642504,2.1220909859294657
4,Dustin Gibson,F,Richardhaven,2.12784604359458,-0.08724081632376712,1.1737298975570625,0.09402401549217423,0.0,-0.10437126265739999,0.9005379215092029,3.3083591403200496
5,Gregory Gomez,F,Danielsburgh,2.078633719664941,2.0795710923215633,-0.9898026957646858,-1.1423245433763303,0.0,-1.2488099638913337,-1.0576032580805184,2.0260775728454883
6,Christopher Reynolds,F,East Sarahhaven,2.0722254215308142,-1.5782932193115091,-0.32490284372305833,0.23669344337672937,0.0,0.7991035488291819,0.6208426207288573,0.40572280187297616
7,Craig Davis,F,South Lauren,2.0368848939127138,-0.014517277674619957,-0.05014075827658045,-0.269186019365689,0.0,-1.7654662936596004,0.6886463251648569,1.7030408385958244
8,Mark Johnston,F,West Michaelview,1.9708407336384064,-1.3908803517980715,0.44896631064694065,0.4919590476875494,0.0,-0.5036420123966726,-0.3764184362482085,1.5208857401748248
9,Joseph Bush,D,Lake Shaunfort,1.9378489506029466,-1.4606598664026924,0.26063454992087903,0.158030781867183,0.0,-0.0869277004348345,-1.5737729148476598,0.8958544159883163
10,Matthew White,F,Barnesburgh,1.9201063617497147,1.1762786517745984,-1.2312096557482086,0.6337694261681857,0.0,1.2108346580247114,-0.08629163965171771,2.4989447839442898
11,Greg Espinoza,F,Davistown,1.907964204716896,0.32910031203808504,-0.9092160243623539,1.2236971690532708,0.0,0.18139545256959888,-0.6746647142507819,2.551545661445898
12,William Morris,D,Christopherhaven,1.9045524854460467,-0.783348303026104,-0.933182763588761,-1.0412341704567791,0.0,-1.2107025514550813,0.08767801259491421,-0.8532127516255973
13,Dennis Graves,F,Port Kristieberg,1.9036283004702768,1.5542895704981634,0.551387139758353,0.038054445309454614,0.0,-0.6728208530782103,-0.5313173915331597,4.047359456036248
14,Thomas Owens,F,Pennytown,1.8892259050311264,-1.715222407926265,-2.389219579278124,0.5029777317126163,0.0,-0.18124733026502793,-0.1941794291431292,-1.7122383504606464
15,Richard Coleman,F,Danielsburgh,1.8493871961123247,-0.6591292795938989,-0.34171857536460115,-1.8301289743126066,0.0,-0.4860038420303064,-1.3253775135230772,-0.9815896331587818
16,Gene Rodgers,F,West Michaelview,1.799583637272698,-0.8256391960860866,0.534264510265128,1.3494816052419525,0.0,-0.824248293644647,0.0964509707886236,2.857690556693692
17,Kevin Lowe,F,West Zachary,1.7963579138314063,-0.279262966075918,0.1372462435485854,-0.7731496640047018,0.0,-0.3185234235162203,-0.5169232387497112,0.8811915272993718
18,David Gray,F,South Kelseyton,1.78757062295338,-0.08192600777063606,0.09470676396229522,-0.3032619841282368,0.0,-1.8230746018397384,-0.661530438491779,1.4970893950168023
19,Travis Stephens,D,Pennytown,1.7405229323595741,0.6686614344154777,-0.26200180871973316,-0.08454687085949773,0.0,0.2102470902347287,0.9361533532718673,2.062635687195821
