rank,player,position,team,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
1,Justin Guzman,G,South Kelseyton,0.0,0.0,0.0,0.0,2.455946987876844,0.5049633800243699,0.6188857152429263,2.455946987876844
2,Brendan Jackson,G,Danielsburgh,0.0,0.0,0.0,0.0,2.3544301178216536,2.059531351423755,-0.8236059264832433,2.3544301178216536
3,Michael Zuniga,G,Lake David,0.0,0.0,0.0,0.0,2.246504825385991,0.5924858651765101,-0.03847759752902459,2.246504825385991
4,Jeremy Barnes,G,North Chelseamouth,0.0,0.0,0.0,0.0,1.7067922323395954,1.59866123882162,0.09949921407091647,1.7067922323395954
5,Kevin Lynch,G,South Lauren,0.0,0.0,0.0,0.0,1.6871710683029135,0.30243614533667845,-0.23329039065794147,1.6871710683029135
6,Victor Franklin,G,South Lauren,0.0,0.0,0.0,0.0,1.3194095321496564,0.16016732278702037,-0.8391583048098206,1.3194095321496564
7,John Contreras,G,Pennytown,0.0,0.0,0.0,0.0,1.1678204845677758,0.3719038353234293,-0.9423605478017805,1.1678204845677758
8,John Guzman,G,Pennytown,0.0,0.0,0.0,0.0,1.1584822795754104,-1.8366592479444963,2.035269746731613,1.1584822795754104
9,Jesse Suarez,G,West Kimfurt,0.0,0.0,0.0,0.0,1.1156576033653998,0.311237737853773,-1.1381979558988367,1.1156576033653998
10,Luke Norris,G,Lake David,0.0,0.0,0.0,0.0,1.0230889543091173,1.0086972596383756,0.5933944434642742,1.0230889543091173
11,Seth Moore,G,North Connorchester,0.0,0.0,0.0,0.0,0.9779654038456375,0.3310497957997862,-0.17946098363006974,0.9779654038456375
12,Troy Bowman,G,South Samuelberg,0.0,0.0,0.0,0.0,0.9600189865523407,0.8680786441383317,-0.04011646883445504,0.9600189865523407
13,Samuel Schmitt,G,East Sarahhaven,0.0,0.0,0.0,0.0,0.8483077187399486,-1.4432106676362053,-0.24894260463130846,0.8483077187399486
14,Fred Bartlett,G,Richardhaven,0.0,0.0,0.0,0.0,0.8369782689815337,-0.5197133695059134,0.39845577176769126,0.8369782689815337
15,Cesar Mitchell,G,South Samuelberg,0.0,0.0,0.0,0.0,0.7551858240966959,0.34778827784034033,0.697356790708354,0.7551858240966959
16,Matthew Farmer,G,East Sarahhaven,0.0,0.0,0.0,0.0,0.7231580309286686,0.4305295382274323,-0.7467642180966637,0.7231580309286686
17,Peter Perez,G,North Susanberg,0.0,0.0,0.0,0.0,0.6096403992107632,0.04211559225980596,-0.6133718011896243,0.6096403992107632
18,Daniel Alvarez,G,West Zachary,0.0,0.0,0.0,0.0,0.6037695856367054,0.36102437118607433,0.3854404735539316,0.6037695856367054
19,Hayden Miller,G,Jeffreyville,0.0,0.0,0.0,0.0,0.5896662077144603,1.4191575834821224,-0.4102872327435809,0.5896662077144603
20,Daniel Fox,G,West Susanchester,0.0,0.0,0.0,0.0,0.5573993749154377,0.8749876737824448,1.3361662349012435,0.5573993749154377
21,Gerald Nielsen,G,Jordanland,0.0,0.0,0.0,0.0,0.5077956191301723,0.5878121040132143,1.0308169327070547,0.5077956191301723
22,Melvin Thompson,G,Davistown,0.0,0.0,0.0,0.0,0.5030207534498216,0.5462859439467521,-1.2353435144851252,0.5030207534498216
23,Richard Wong,G,Luistown,0.0,0.0,0.0,0.0,0.4855760837865234,-0.4675511955211009,-0.9938653558307454,0.4855760837865234
24,Austin Wilson,G,West Erin,0.0,0.0,0.0,0.0,0.4467037711951521,0.5304595413557843,1.0521317967075654,0.4467037711951521
25,Andrew Cox,G,West Michaelview,0.0,0.0,0.0,0.0,0.3940826500902644,0.12636166498279275,0.24268377154327347,0.3940826500902644
26,Jonathan Austin,G,Port David,0.0,0.0,0.0,0.0,0.33094702539047516,0.009487960660182036,0.7711163307559588,0.33094702539047516
27,Matthew Duffy,G,North Connorchester,0.0,0.0,0.0,0.0,0.29785832305976284,-0.8233827403546731,0.32144874337179036,0.29785832305976284
28,Connor Bridges,G,Nelsonhaven,0.0,0.0,0.0,0.0,0.28282480011983374,-0.056691508499800015,0.7710461594858137,0.28282480011983374
29,Matthew Lee,G,Port David,0.0,0.0,0.0,0.0,0.2345249978668275,0.37119602469221147,-0.253765424875413,0.2345249978668275
30,Darrell Smith,G,West Michaelview,0.0,0.0,0.0,0.0,0.20001119631666509,-1.3907875383236257,-1.8768751975232565,0.20001119631666509
31,Justin Garcia,G,Port Kristieberg,0.0,0.0,0.0,0.0,0.1445943235652706,0.7670915371866738,0.45078427670828997,0.1445943235652706
32,Scott Mitchell,G,Jamesmouth,0.0,0.0,0.0,0.0,0.14290932219367553,0.6117057935847561,-0.9094489524187506,0.14290932219367553
33,Joseph Brown,G,Danielsburgh,0.0,0.0,0.0,0.0,0.008630183744782909,-0.012209201683710518,1.069712158165391,0.008630183744782909
34,John Huynh,G,West Zachary,0.0,0.0,0.0,0.0,0.004482481164153151,0.43675399635330087,-0.8796707592029002,0.004482481164153151
35,William Garcia,F,West Michaelview,-0.45409829931183765,0.3496506916232168,0.4937092257789051,-1.2066992231707976,0.0,1.9763675457415129,-0.08410315936646932,-0.8174376050805133
36,Bill Webb,F,West Michaelview,0.6910622293089751,-0.44352744894473684,-1.160193209405271,0.9914286038300109,0.0,-0.1320227866785252,0.5595735347525248,0.07877017478897819
37,Luis Herman,F,West Michaelview,-1.2215642147085448,1.6064896838138571,0.6167935774938269,1.0635836311662492,0.0,-1.6716582219244356,-0.6954899291238176,2.0653026777653887
38,Patrick Wong,F,West Michaelview,-0.4675982511662297,0.7291331706341659,1.7725468262173247,0.4842005028814408,0.0,-2.683119747570927,0.5656000243643048,2.518282248566702
39,Andrew Hoffman,F,West Michaelview,-1.4445382881727808,-1.2214323657516148,0.6276716339132652,-1.8488096975861432,0.0,-0.15289180861050833,0.01647336302257375,-3.8871087175972736
40,Allen Sandoval,F,West Michaelview,-0.4529657796624068,-0.9300419691245749,-0.8100572780491881,0.1086879768000146,0.0,1.6217994464968934,1.7477772663393392,-2.0843770500361556
41,Richard Holland,F,West Michaelview,-1.497526509453938,0.7172591992212374,-1.075916286025109,1.3099342791906032,0.0,-0.4113394092928237,-0.5045938518282456,-0.5462493170672065
42,Gene Rodgers,F,West Michaelview,1.799583637272698,-0.8256391960860866,0.534264510265128,1.3494816052419525,0.0,-0.824248293644647,0.0964509707886236,2.857690556693692
43,Kenneth Wheeler,F,West Michaelview,0.3349977987282986,-0.2842081246688381,-0.4328439669909926,-0.9257860485811651,0.0,0.4542011740078061,-0.3294242334521874,-1.3078403415126971
44,Mark Johnston,F,West Michaelview,1.9708407336384064,-1.3908803517980715,0.44896631064694065,0.4919590476875494,0.0,-0.5036420123966726,-0.3764184362482085,1.5208857401748248
45,Stephen Adams,F,West Michaelview,0.8929456579932573,-0.6244225038226451,0.4477505331791911,0.6890104661682556,0.0,-0.5998518882438068,-1.798918552449359,1.405284153518059
46,Ray Walton,F,West Michaelview,-0.9870468357660708,-0.66758710262017,-0.2040204409593325,-2.1210183210095703,0.0,0.11713493165881635,0.33621210920920375,-3.9796727003551435
47,Steve Ashley,D,West Michaelview,0.6060717220352301,1.3419251590192094,0.0483456820569613,-0.2295747272678948,0.0,-1.1231253954413913,-0.38211009875863927,1.766767835843506
48,Samuel Dixon,D,West Michaelview,0.019689193852055926,0.541587053729374,2.4136661768768177,1.7043684763234401,0.0,-0.017910978096529424,-0.6453676510172744,4.6793109007816875
49,Charles Smith,D,West Michaelview,-1.1139790207398306,0.3753206090559518,1.954280345496108,-0.767247431873367,0.0,0.958630586714893,0.29209455977072385,0.4483745019388622
50,Bryan Fisher,D,West Michaelview,-1.1055565901594553,-1.4287545518661127,1.5543594648671686,-0.5939722814094295,0.0,-0.09044414667899597,-1.7168488930055883,-1.5739239585678289
