rank,player,position,team,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
1,Casey Bowers,F,South Samuelberg,1.0116391788645598,0.7512511151277548,0.8449214185277115,2.8796554277948343,0.0,-0.7651790512693498,2.6671042471923205,5.487467140314861
2,Joseph Wells,F,East Sarahhaven,1.5663078060127598,-0.7354313998252315,-0.5108624848589857,2.82819024075188,0.0,0.01275735063273485,-3.23286739127004,3.1482041620804226
3,Randall Maynard,F,Davistown,1.4497899840871489,-1.6136818282756789,-0.11474502442890736,2.59162710797206,0.0,0.685385838637535,0.25805901870122316,2.312990239354623
4,Eddie Jones,D,Jeffreyville,-0.3204297329295605,0.5600203620802197,-1.3815257208307363,2.4141565784796803,0.0,0.6543603245598557,-0.09125467157313953,1.2722214867996031
5,Tyler Strickland,F,Port David,0.06214509066279696,-0.08596144979403493,0.6651525225947977,2.3538499914127247,0.0,-0.36226790149337024,0.9260195912214663,2.9951861548762846
6,Lawrence Wilkerson,F,South Lauren,-0.09953400952013859,0.9631537314908466,-0.07896823264696544,2.348297596439303,0.0,1.525464859479939,0.35453862584217455,3.1329490857630455
7,Joshua Franklin,F,Pennytown,0.33789122482563183,-2.8260987996936113,1.493928556878137,2.223009909038242,0.0,0.6369033610164294,-0.23797537905645622,1.2287308910483994
8,Thomas Smith,F,South Lauren,0.7788250119430101,-0.15472748756687119,1.9236831754277035,2.2070772682603006,0.0,0.13831668265904604,-1.2569591062651022,4.754857968064143
9,Joshua Rivera,F,Danielsburgh,0.6923119952468265,0.8404799301846012,-0.25554940035423557,2.136003872711505,0.0,-0.38576638019974036,-0.43801462561842136,3.413246397788697
10,Shawn Rios,D,North Susanberg,0.6281944756555313,0.9789707436868583,1.4723711003929982,2.070936274959037,0.0,-1.5379724538135724,-1.2375642892671037,5.150472594694425
11,Marvin Brown,F,Jeffreyville,0.5602555507894792,-0.7083713144936722,1.4394450629813769,2.0683034704804735,0.0,0.07975159304996834,1.5868211787988322,3.359632769757657
12,Garrett Hall,F,Lake David,-1.0254847950229082,-1.0820213983369753,-1.2633148290708538,2.029627361924716,0.0,1.310846167225885,0.7555873997289301,-1.3411936605060215
13,Devin Day,F,North Susanberg,0.9706810958995501,1.5132850805915354,-0.5834041422145444,2.0030924649549298,0.0,0.344416153273278,0.9259197519622803,3.903654499231471
14,Thomas Morgan,F,West Erin,-0.9465784372063534,-0.23181261148122057,-0.17170310498287147,1.9962371782213948,0.0,-0.5936283233591448,0.18403898490457604,0.6461430245509494
15,Mark White,F,Hunterborough,-0.7309525971877271,0.14578589676962325,0.1443193523068439,1.9820242241922494,0.0,-0.11132235487861444,0.26819552634000515,1.5411768760809896
16,Anthony Wright,D,South Kelseyton,0.18404213331803596,2.049255139464634,1.016070324141818,1.9533497981056411,0.0,-0.9785216919094976,-0.575287491016675,5.202717395030129
17,Joseph Lambert,F,Lake Shaunfort,1.1534115858111154,1.1383407674886088,0.47355835568229365,1.9245501470058433,0.0,0.9615434567348027,0.8871417160141674,4.689860855987861
18,Edward Cross,F,Jordanland,-1.1707333892773888,0.5277510011629689,-0.9425834226480337,1.9181420593394218,0.0,-0.6428358191118873,-0.9726341342012527,0.3325762485769683
19,Kenneth Reynolds,F,Port Kristieberg,1.1217052991203649,1.6125188155115082,0.39573856930326196,1.89888362708283,0.0,0.13101864251203965,-0.7880493041141343,5.028846311017965
