rank,player,position,team,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
1,Timothy Maldonado,F,Port Chris,-0.788938443699993,-0.012923850382905703,3.1150804186027465,0.008921571072818633,0.0,0.753121522050245,-1.1076418807317603,2.3221396955926665
2,Jeremy Lee,F,South Lauren,-0.7250236773861044,-1.4076684625632476,2.6884687587919474,-0.6970909291473695,0.0,-0.006413649454306852,1.0141777719620761,-0.14131431030477426
3,Darren Phillips,F,South Kelseyton,0.12882853737090377,-0.03735070703965774,2.581556142782891,0.6352017060902597,0.0,-0.6079043987067453,0.09775477248025108,3.3082356792043965
4,Samuel Dixon,D,West Michaelview,0.019689193852055926,0.541587053729374,2.4136661768768177,1.7043684763234401,0.0,-0.017910978096529424,-0.6453676510172744,4.6793109007816875
5,Dale Mendoza,D,Nelsonhaven,-2.3678931902050646,0.8991665525860026,2.3053149533323527,0.6430183871141737,0.0,0.07100931591928572,-1.7566540630336958,1.4796067028274644
6,Brian Brown,D,Jamesmouth,-0.17365351712670016,1.4611554649327028,2.224898087323305,1.2187581943891992,0.0,-1.972222042131435,-0.8477660518864902,4.731158229518507
7,Bill Rodriguez,F,Port Kristieberg,-1.1970832951273973,0.7189902307413555,2.141470922483438,-1.3145068649623113,0.0,-0.37617783559297174,1.1419112491518324,0.3488709931350851
8,James Gonzales,F,Christopherhaven,-0.8951656719946142,0.40923487669870506,2.120938551836118,-1.2635745133568745,0.0,-0.03143839192447576,0.6789397432168752,0.37143324318333426
9,Brian Goodwin,F,Jordanland,1.4439485651749506,-0.521339381889834,2.029441187925636,0.3246386729653461,0.0,0.41541362769803536,-1.3550447931463139,3.2766890441760985
10,William Bradley,F,Christopherhaven,0.29422211568833634,-0.6892104444098124,2.0156334171746217,0.5840405827927724,0.0,0.6956712579359984,0.8228571908030965,2.204685671245918
11,Charles Smith,D,West Michaelview,-1.1139790207398306,0.3753206090559518,1.954280345496108,-0.767247431873367,0.0,0.958630586714893,0.29209455977072385,0.4483745019388622
12,Bradley Harrison,F,West Zachary,-1.1046166007419769,0.6278585695009496,1.9525968619355099,0.44101079811006405,0.0,-1.5739782229235189,-2.3284830694642586,1.9168496288045467
13,Gerald Trevino,F,Christopherhaven,0.5319543197702774,0.3350005285422867,1.9485053990437902,0.47438820325283354,0.0,0.827941241032091,-1.6560773427520308,3.289848450609188
14,Thomas Smith,F,South Lauren,0.7788250119430101,-0.15472748756687119,1.9236831754277035,2.2070772682603006,0.0,0.13831668265904604,-1.2569591062651022,4.754857968064143
15,Christopher Walker,D,South Samuelberg,-1.4611848949072819,-2.8007175467676633,1.8825223265838904,0.3741145877358137,0.0,0.4024694289598841,1.604402430412904,-2.0052655273552404
16,Michael Burke,F,Port Chris,0.6146704163168588,-1.1501083774408742,1.8474230873104571,-0.487918323126193,0.0,-0.874146098472273,-0.18478881645024306,0.8240668030602487
17,Douglas Rush,D,East Sarahhaven,0.2226186193211309,-0.5383235936007423,1.8474157825481674,1.0738760758692385,0.0,0.49469645803424966,1.3066873751134152,2.6055868841377947
18,Jeffrey Jacobs,D,Jeffreyville,0.7580899120451617,-1.64976647970746,1.8285736525151868,-1.272525671565377,0.0,-0.3577570272803024,0.22401253519737022,-0.3356285867124885
19,Nicholas Ramos,D,South Kelseyton,-0.7899285915797084,1.481173048666529,1.7876601938534251,-0.2594142648497349,0.0,-1.6266367800230948,-0.5802359840252804,2.2194903860905106
20,Chad Wright,F,Hunterborough,-0.7552519606337913,0.8160533136051153,1.7726882200445009,1.1357013598366354,0.0,-1.893071417363175,-0.6741539092650162,2.9691909328524604
21,Patrick Wong,F,West Michaelview,-0.4675982511662297,0.7291331706341659,1.7725468262173247,0.4842005028814408,0.0,-2.683119747570927,0.5656000243643048,2.518282248566702
22,Travis Yang,D,Port David,0.209843738124622,-1.274973930098017,1.7587651133065183,-0.6325003940992644,0.0,-0.23797112680446636,0.9404009224347369,0.06113452723385904
23,Joel Wright,D,West Kimfurt,-1.1195655691060935,-0.6903136426633374,1.6755406660910954,1.7282941472381301,0.0,-0.06603041553092968,0.24106327433147848,1.5939556015597947
24,Alexander Goodwin,F,South Samuelberg,-0.333622237946771,-1.16756703267933,1.6722795197289109,1.7697616126650144,0.0,0.8141549243188597,-2.0599881170710583,1.9408518617678243
25,Brian Walton,F,Port Chris,-0.6992807597590647,-0.610819314839848,1.6647914798843,-0.10482605496134481,0.0,-0.1627191381504307,-0.026564080611261042,0.24986535032404253
26,Rodney Short,F,Danielsburgh,-0.6533060797608303,0.46784348706200657,1.6606306435512752,-0.045401909867621694,0.0,1.1719711166460585,0.7253083172201285,1.4297661409848297
27,John Campbell,F,Hunterborough,0.3055231217950956,0.035159831136253025,1.643215143763452,-0.3052408825072285,0.0,-1.6099618616370692,-0.21174698489869273,1.678657214187572
28,Derek Roth,D,North Chelseamouth,0.9254589614693212,-0.8717588790333567,1.5729458086402401,0.27051449428328894,0.0,1.0088883776182942,-0.33278193274330997,1.8971603853594936
29,Bryan Fisher,D,West Michaelview,-1.1055565901594553,-1.4287545518661127,1.5543594648671686,-0.5939722814094295,0.0,-0.09044414667899597,-1.7168488930055883,-1.5739239585678289
30,Philip Jones,F,Luistown,-0.7277169698788439,-1.7067725213830958,1.5431995183806668,-0.48807475474953765,0.0,0.4829623897327447,-0.03709964600942554,-1.3793647276308105
31,Keith Jones,F,Jamesmouth,0.7559113878157463,0.10038438100896714,1.5326834227374273,1.3612264998853976,0.0,1.2597339679533053,-0.46811406915750087,3.7502056914475386
32,David White,F,North Susanberg,0.2633689339071192,-0.16632624966022444,1.5297090116218748,0.6957899135139468,0.0,0.5662128337068427,0.35971250514353625,2.3225416093827165
33,Gregory Stephens,F,Port Chris,-2.5252234604863233,-0.42041336613816005,1.5068993473559547,1.3925472068365652,0.0,-0.33287026942802916,2.2756996083747874,-0.04619027243196361
34,Jake Wood,D,Davistown,0.5238661562726855,0.49656495839959647,1.5049830354364842,-0.5934993445677866,0.0,0.0964876801002755,0.13811971983338844,1.9319148055409792
35,Joshua Franklin,F,Pennytown,0.33789122482563183,-2.8260987996936113,1.493928556878137,2.223009909038242,0.0,0.6369033610164294,-0.23797537905645622,1.2287308910483994
36,Tyler Bridges,F,South Lauren,-0.19165658157917922,0.038925350247747945,1.4930628127600647,0.7526804314687934,0.0,1.2844135873036062,-0.1543221433226059,2.093012012897427
37,Lucas Russell,D,Christopherhaven,0.5840142088585731,0.16603113857628093,1.4904847396690295,-0.8352142183128879,0.0,1.6435161555926712,-0.3058138312137667,1.405315868790996
38,Michael Nichols,F,North Chelseamouth,0.2160938850715757,0.8801237265026465,1.4740781838504136,0.9773599561308312,0.0,0.5518252859754464,-0.3984157284803424,3.547655751555467
39,Shawn Rios,D,North Susanberg,0.6281944756555313,0.9789707436868583,1.4723711003929982,2.070936274959037,0.0,-1.5379724538135724,-1.2375642892671037,5.150472594694425
40,Joe Oconnor,F,West Susanchester,-0.5006794272229578,0.23787468664189562,1.4545487968036277,-1.2936707937429985,0.0,1.1187490684972903,1.0775282657042236,-0.10192673752043291
41,Marvin Brown,F,Jeffreyville,0.5602555507894792,-0.7083713144936722,1.4394450629813769,2.0683034704804735,0.0,0.07975159304996834,1.5868211787988322,3.359632769757657
42,Brian Jenkins,D,West Susanchester,0.05016603576991614,1.214448059884436,1.4314790549446976,-0.4450689310124875,0.0,0.6184441715434729,0.12465238036586587,2.2510242195865624
43,Richard Goodwin,F,South Lauren,-1.49900931851651,0.1527215834647774,1.428572138132679,0.18475673366504294,0.0,0.4042013367365008,2.030292798677748,0.2670411367459894
44,Matthew Maldonado,D,Davistown,1.3965902301510882,-1.7562170590341122,1.3821629918424965,1.6953496474762186,0.0,0.43379331563325096,-0.010882174727562631,2.717885810435691
45,Timothy Morris,F,North Brianside,0.5346904220562853,1.0669965130927552,1.3682513879780054,1.4167198050047463,0.0,0.11110828232037899,-0.14737736507166435,4.386658128131792
46,David Wells,F,East Sarahhaven,-1.6072046548219148,0.813280621071316,1.3665591903423635,-1.516029819126938,0.0,-0.9782690533486248,0.7282917591822965,-0.9433946625351731
47,Jon Rogers,F,Christopherhaven,-0.3899664272099272,0.6200619413681023,1.3332359377395775,-0.9846878890357041,0.0,0.5482624910546562,-0.2991158934220013,0.5786435628620484
48,Todd Thomas,F,Jamesmouth,-1.6436906867851448,0.9734095011033259,1.3085307958760213,1.7217855577650112,0.0,-0.45348547628225444,1.0202867027438411,2.3600351679592135
49,Phillip Koch,F,Hunterborough,-1.1313584098112834,0.5507523777090381,1.304649659003637,1.6793673103180073,0.0,-0.5259008261706583,-0.5910815174419045,2.403410937219399
50,Jeremy Powell,D,Pennytown,-0.6367668279449429,1.0200775289310764,1.2828626285067388,-1.0668740404242008,0.0,2.67412307832523,-0.11859512881320697,0.5992992890686715
