rank,player,position,team,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
1,Ryan Butler,D,Latvia,3.1090482728951514,1.753075261430099,-0.2563026487401562,0.14369386490688368,0.0,-0.4932118908227493,-1.67525320179727,4.7495147504919775
2,Anthony Young,D,South Korea,2.7858023655724042,-0.9880704680719109,-2.338813380224308,0.4368650720703437,0.0,0.7406887355101192,-2.0951470421063774,-0.10421641065347115
3,Andrew Clayton,D,Hungary,2.2263925878952406,-0.793715465575476,-0.1315162820682169,0.34093371138675416,0.0,0.7505425618248024,0.5595489793557532,1.6420945516383016
4,Michael Washington,F,Slovenia,2.1834996350237623,-0.025158037635548643,0.1059448482635971,-0.37127993136295734,0.0,-1.3800366289751091,-0.8671727980965076,1.8930065142888535
5,Erik Atkins,D,Poland,1.9681559431979114,-1.0525644883238676,0.6365284514747499,0.8978537883162826,0.0,1.8725725730561256,-1.5607767190958306,2.449973694665076
6,Juan Miller,F,Czech Republic,1.93548064674866,-1.0186562606729639,1.4187590702984356,-2.0225680686884417,0.0,-0.6221240629857832,-1.0927443170888271,0.31301538768569026
7,Dakota Edwards,D,Estonia,1.8270402581629015,-0.14463171877644854,-0.5751698336475572,-0.3245999813747814,0.0,-0.41668098898665334,-0.13198850668642356,0.7826387243641143
8,Joseph Scott,D,Sweden,1.7994844515161135,-0.3810753994817108,0.965650098576839,0.668724590903871,0.0,0.2734185469807054,-1.1771700124164197,3.0527837415151122
9,Timothy Ramos,F,Slovenia,1.7546965234847487,-0.27071240361481347,0.6680692944835256,0.5976643593319405,0.0,-0.061647509820532645,0.8424024157845028,2.7497177736854015
10,Brian Sanders,F,Belarus,1.65374705920688,-1.0560998521451075,0.39819005398723,-1.216484340392681,0.0,-1.4369994103165693,1.385368827223206,-0.22064707934367855
11,Joel Reyes,D,Japan,1.6295896400552918,-0.9202270612648374,-1.1537046104858102,0.966882786260341,0.0,0.9096888286612134,0.023595649670874522,0.5225407545649852
12,Eric Thompson,D,Slovenia,1.6173260444124444,1.5243084947770091,1.627225432709693,-1.9146432415325674,0.0,-0.06654691121878469,0.7431217184062754,2.8542167303665797
