rank,player,position,team,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
1,Stanley Brewer,D,Austria,0.6687029293507628,-0.06544642995874071,-0.6148164382285379,-0.6233853866690061,0.0,-0.05265456319884782,2.7739972912451205,-0.634945325505522
2,Andrew Kline,D,Germany,-2.1619657090379634,0.36050971057964065,-1.1543903528729464,-0.7870966723691993,0.0,-0.6502058228456175,2.7473455700271585,-3.7429430237004686
3,Christopher Acevedo,D,Belarus,0.27648306893610575,-0.05180035966362872,-0.6380707499158289,0.1942043450615646,0.0,-1.100538684965037,2.6911786799818707,-0.2191836955817873
4,Daniel Doyle,F,Latvia,0.3410349534401989,0.6265655466697665,0.6776156949289351,-0.1384323361709954,0.0,1.6865656151211867,2.603515862043753,1.5067838588679052
5,Eric Willis,D,Lithuania,-0.3685586508726931,0.9522442286834717,0.1613415781651255,-0.24838969309386516,0.0,-0.3851212900044173,2.5197666264947514,0.4966374628820389
6,Adam Whitehead,F,Croatia,-0.4998001581750282,-0.7648993335603791,-0.7848291200931212,1.1180036085908698,0.0,-0.06965161941516691,2.07141659644826,-0.931525003237659
7,Eric Greer,F,Czech Republic,-0.4713598124947526,0.514782125248506,0.7768788573141207,1.1312699487327678,0.0,2.0301308435349052,2.0693993549463157,1.9515711188006417
8,Jamie Miller,F,Belgium,0.04500933030335533,2.233860440589396,-0.7313997183564898,-0.5375247297405159,0.0,-0.9367855673947733,2.0497963969601245,1.0099453227957456
9,Kevin Atkins,G,Croatia,0.0,0.0,0.0,0.0,-0.9091059359660115,0.03467610648731553,1.9137312747530695,-0.9091059359660115
10,Timothy Lewis,F,Netherlands,1.061650868986833,1.2503425092746412,0.19246769896547744,-0.0014375291301791594,0.0,0.3986260511553814,1.9021654529434127,2.5030235480967717
11,Kenneth Quinn,F,Ukraine,-0.8788672633122041,0.33670725107947913,-2.4556632358804666,-0.266575545110275,0.0,-0.7620460978381672,1.879976369151017,-3.264398793223467
12,Andrew Levy,D,Sweden,-0.6548589755091521,0.5036341198264151,0.8505233888749189,0.06389007921838778,0.0,0.9125429732672006,1.6945489255593573,0.7631886124105697
13,Clinton Lopez,F,Hungary,1.1000492587513133,0.7441224540075497,-0.5152140228954638,-1.7586161519072492,0.0,-0.0763349587668147,1.6797507962707574,-0.42965846204384994
14,Lawrence Valdez,F,Canada,1.2520202475617388,-0.10070824097481863,-1.3847365208453846,-0.5462044013623767,0.0,-0.6353237775584011,1.677277713607239,-0.779628915620841
15,Steven Ibarra,D,Poland,-1.0102522443463164,-0.12252101370843048,-1.133544242963627,-0.5076905107395331,0.0,-0.6384301319684206,1.6636468055531983,-2.7740080117579073
16,Ricardo Preston,F,Croatia,-0.25423139527904903,1.6937698179685012,-0.2607443209753539,-1.867058932365063,0.0,-0.009422975367292722,1.6404924350362706,-0.6882648306509649
17,John Ball,F,Denmark,1.3386553969918993,-0.8840891053431553,0.6339002748560101,-0.793775243845259,0.0,0.8049403609464105,1.6235032373766125,0.29469132265949516
18,Donald Henderson,F,Ukraine,-0.8572477054437663,-1.7965752554979846,1.9514283626382374,-0.9601091523354592,0.0,-2.202315667353157,1.6197297197209852,-1.6625037506389728
19,James Barnes,D,Croatia,0.5970731714325243,-0.0863025643001988,0.3598955486577585,-0.6062004452236402,0.0,0.645493334077925,1.587532413281367,0.26446571056644375
20,Anthony Whitaker,D,Lithuania,0.1933957337638098,-0.5088831339691146,-0.5809805323621297,1.089166030169427,0.0,-0.7633559699529812,1.5423073333027986,0.19269809760199264
21,Brandon Cox,F,Slovenia,-0.6473808239221885,-0.5914039908023541,1.258707313136617,-1.5641939087415064,0.0,-0.6130946851283987,1.5267316866080027,-1.544271410329432
22,Brandon Williams,D,Italy,1.077741172475972,0.556522957461753,1.54431774561996,-0.2402058198740773,0.0,-0.10573064605019153,1.4352969454465292,2.938376055683608
23,Brian Sanders,F,Belarus,1.65374705920688,-1.0560998521451075,0.39819005398723,-1.216484340392681,0.0,-1.4369994103165693,1.385368827223206,-0.22064707934367855
24,Samuel Ball,D,Norway,0.015927226165273554,0.8875425918609745,-0.7735594443498376,-0.4072276496527771,0.0,0.20842284326674604,1.3642504710334638,-0.27731727597636663
25,Joseph Molina,F,Austria,-2.0689504767320614,-0.2748183951329238,0.6230316587044127,-0.9753781754069901,0.0,1.1494547289500057,1.3535261209857792,-2.696115388567563
26,Larry Wright,D,France,1.1783008474226546,0.21284281573669095,0.3023965694976787,-0.10338524150398963,0.0,-0.4810119747194228,1.3253006273577126,1.5901549911530348
27,Troy Walker,F,Ukraine,-0.17050547689119444,0.1218533450288445,-0.3132233952845866,-1.4643511319836708,0.0,-0.7825059612888764,1.2889542519073673,-1.8262266591306073
28,Donald Lee,F,South Korea,1.430478745049753,-0.4023027855366034,-0.38236992223236654,-0.4359641266338563,0.0,-0.5134220330156384,1.2190364284362882,0.2098419106469266
29,Jonathan Lee,F,Norway,-0.19711708746201181,0.17439721211587905,-0.5369063564796471,0.1185216901891995,0.0,0.06833444483519707,1.2119817035345959,-0.44110454163658036
30,Jonathan Hall,D,Poland,-0.412463787994961,-2.000914626340404,-2.4966127642752065,0.40281838465612474,0.0,1.2069283577096694,1.19081860927873,-4.507172793954447
31,Joseph Morris,D,Switzerland,-0.34532087597784844,0.47023695584762476,-0.35839864916627395,0.4651271252933025,0.0,-1.0735985152135996,1.1742126356073763,0.2316445559968049
32,Tyler Johns,F,China,-0.5253966422318244,-1.7020653422377299,-0.2691518854379544,-0.321695184882375,0.0,-1.1299012554829357,1.1616680062710671,-2.8183090547898835
33,Chad Chen,F,Kazakhstan,1.0761375774875666,0.8496117708125713,0.24462302401677302,1.089353416097472,0.0,0.29860213352909504,1.1530521833784269,3.2597257884143827
34,Christopher White,F,Czech Republic,0.35394984173913874,1.5087652127799296,-0.3936305806440086,-1.6428119348252972,0.0,-1.6516401984436453,1.1473398791264253,-0.1737274609502375
35,John Ortiz,D,Netherlands,-0.19091634383195563,1.4965015334626415,1.0921852009859516,-0.6894751801902277,0.0,-0.17058035553590023,1.132634552061642,1.7082952104264095
36,Eric Grant,F,Lithuania,-0.6116963465033743,0.46314224556459,0.13035256057340688,0.17403056297369393,0.0,-0.19156096831318495,1.1254836356234044,0.15582902260831646
37,Jason Wells,F,Netherlands,0.45016085843422604,-0.7541762440841026,0.5877402254212245,-0.9111266108662119,0.0,0.8580977636945707,1.1114681836366573,-0.627401771094864
38,Caleb Smith,D,Italy,-0.15819293137559734,0.3330925017572087,1.1263774349747018,-1.2138456440011312,0.0,1.1862446742672084,1.1024932815867694,0.08743136135518204
39,Charles Woods,F,Czech Republic,-0.9395389396946,-0.684106556685249,0.6702214406381863,-0.3864587473297733,0.0,-2.0006815574902226,1.1004381701155372,-1.339882803071436
40,Benjamin Christensen,D,Estonia,0.5409944251241166,-0.14184161943189813,-0.5745802552131316,-0.5245541709504131,0.0,0.4576276630516858,1.081636840872482,-0.6999816204713263
41,Nicholas Gonzales,D,Japan,-1.4544389426837614,-1.1894465656107016,0.4078745829756763,-2.2664850022282415,0.0,-1.9711883548221716,1.0686357790389946,-4.502495927547028
42,Jason Tucker,F,Switzerland,0.2638154223537929,2.6644711524789053,-0.4752962149749372,-0.19268839286237863,0.0,-0.29857713970439714,1.0658640934050996,2.2603019669953825
43,Jeffrey Smith,F,Austria,-0.1515280760281912,0.09022074254730235,0.17722291395064235,0.12281552302868244,0.0,1.0893164586110127,1.0625486060851186,0.23873110349843593
44,Craig Hansen,F,United States,1.2923691688900922,0.23639919278077517,-0.6081816608923255,0.7742581038819576,0.0,0.0701900253094167,1.0430381968503142,1.6948448046604994
45,David Davis,D,Belgium,0.3250827602877953,-1.9645026985087948,-0.19262265142868384,0.06358549070674949,0.0,-0.6247751249347936,0.9957323543816324,-1.7684570989429338
46,Scott Olsen,D,Canada,0.840842295464872,0.6170265529804274,-1.3738459353969918,1.503999220626468,0.0,0.8736456739836295,0.9952910709133278,1.5880221336747755
47,Gregory Brown,F,France,0.28484068790119776,1.5019409916378037,-1.0209703791422338,1.4325760162294838,0.0,-1.5206696067401646,0.9690730432859135,2.1983873166262518
48,Jorge Malone,F,Norway,1.605594976228218,-0.6941334045762885,0.7357540783712251,-0.43502303669128684,0.0,-1.5462524209236872,0.9537143730989727,1.2121926133318677
49,Anthony Burton,F,Russia,-0.2569867081756038,-0.4172302374603078,0.9609297083330727,0.9875485880469549,0.0,-0.38324669478764956,0.949023462329517,1.274261350744116
50,Mark Harris 2,F,Poland,-0.3219949717778645,-0.20493643332999667,1.1395572309841944,-0.6028016417780656,0.0,-1.0875956111587108,0.9439572202490131,0.009824184098267574
