rank,player,position,team,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
1,David Williams,G,Switzerland,0.0,0.0,0.0,0.0,0.3793977010429852,2.6899077535856977,0.499364182634746,0.3793977010429852
2,Andrew Nicholson,F,Slovakia,-0.4094798544573213,-0.5020347028744253,2.704402151781661,-0.9163861949664649,0.0,2.612201135217875,0.5068453138060669,0.8765013994834494
3,Matthew Smith,F,Austria,-0.6523589882519273,-1.627711304536139,-1.0933397516546435,-0.10455253644854852,0.0,2.553085661540564,-0.566166601148605,-3.4779625808912584
4,Daniel Chapman,F,Germany,0.15691867175036087,-1.32312260094345,-0.9674757672295327,-0.618696092241585,0.0,2.3990971517118065,0.2473200896754797,-2.7523757886642066
5,James Watson,G,South Korea,0.0,0.0,0.0,0.0,0.49439225514583696,2.325787284233422,-0.2901930296016561,0.49439225514583696
6,Edwin Brown,F,South Korea,-0.8994433506756941,-0.7063293467346844,-1.6169269234427601,0.854130853294849,0.0,2.2707426113726394,-1.6038633513454055,-2.3685687675582896
7,Glenn Miller,F,Sweden,-0.5600492181655224,0.3100207823136851,-0.2952453259075118,-2.973852237704553,0.0,2.1910192523009964,-0.15998925385743082,-3.519125999463902
8,Douglas Harvey,F,Japan,0.6507608528703375,-1.0127882270637059,2.295596079196923,-1.010933688908741,0.0,2.1373464771811137,-1.5097220132906963,0.9226350160948136
9,Dennis Gonzalez,D,Hungary,-0.1153633934209969,-0.04450296432378556,-0.35368717724241017,-0.13782899575672597,0.0,2.0873660075780696,-1.8660043881339519,-0.6513825307439187
10,Eric Greer,F,Czech Republic,-0.4713598124947526,0.514782125248506,0.7768788573141207,1.1312699487327678,0.0,2.0301308435349052,2.0693993549463157,1.9515711188006417
11,Ronald Price,F,Italy,-0.39762492345029143,0.7792025358168293,-0.3374628032827637,0.5346531561764148,0.0,1.9908189638255254,-0.1396214859601986,0.578767965260189
