team,GP,W,L,OTL,PTS,GF,GA,GD
Russia,82,46,15,6,128,298,189,109
Lithuania,82,41,17,9,121,277,194,83
Latvia,82,41,18,8,120,316,235,81
Belgium,82,39,21,10,112,269,210,59
Croatia,82,37,24,7,109,326,253,73
Great Britain,82,39,22,11,109,300,233,67
Estonia,82,37,20,16,108,274,232,42
Finland,82,35,27,7,103,269,238,31
Canada,82,37,26,10,102,271,242,29
United States,82,34,26,11,101,267,239,28
Slovakia,82,36,27,10,100,263,228,35
Norway,82,33,27,10,100,252,234,18
Switzerland,82,32,29,9,97,289,277,12
Slovenia,82,40,31,7,95,283,279,4
China,82,31,30,10,94,229,235,-6
Netherlands,82,35,31,10,92,291,261,30
Romania,82,24,29,14,92,203,212,-9
Italy,82,26,30,13,91,254,278,-24
Czech Republic,82,30,35,8,86,266,280,-14
Kazakhstan,82,30,35,9,85,262,255,7
France,82,30,36,10,82,267,283,-16
Spain,82,29,36,12,80,253,281,-28
Hungary,82,25,39,6,80,229,260,-31
Belarus,82,30,36,12,80,234,268,-34
Ukraine,82,22,36,13,79,226,267,-41
Japan,82,24,38,10,78,229,264,-35
Denmark,82,20,37,12,78,245,311,-66
Germany,82,22,38,15,73,246,298,-52
South Korea,82,26,43,6,72,234,311,-77
Sweden,82,21,40,14,70,211,285,-74
Poland,82,21,43,9,69,218,293,-75
Austria,82,16,47,9,61,210,336,-126
