team,GP,W,OTW,L,OTL,PTS,GF,GA,GD
Russia,82,48,9,16,9,123,303,199,104
Great Britain,82,42,14,18,8,120,327,238,89
Lithuania,82,44,14,22,2,118,257,185,72
Latvia,82,44,9,24,5,111,318,226,92
Norway,82,38,10,22,12,108,276,226,50
Canada,82,40,9,25,8,106,269,242,27
Slovenia,82,38,8,25,11,103,311,271,40
Finland,82,37,12,29,4,102,274,235,39
Slovakia,82,37,9,26,10,102,235,219,16
Kazakhstan,82,29,15,28,10,98,262,255,7
China,82,28,14,26,14,98,224,222,2
Croatia,82,34,9,28,11,97,303,294,9
Belgium,82,32,11,28,11,97,254,248,6
France,82,29,11,29,13,93,281,274,7
Switzerland,82,34,7,30,11,93,256,255,1
Spain,82,25,13,27,17,93,253,261,-8
Ukraine,82,35,7,32,8,92,247,244,3
Japan,82,28,12,32,10,90,234,244,-10
Hungary,82,24,15,33,10,88,251,270,-19
United States,82,34,5,36,7,85,253,257,-4
Czech Republic,82,30,10,38,4,84,263,289,-26
Estonia,82,31,8,37,6,84,234,263,-29
Netherlands,82,24,12,35,11,83,281,302,-21
Austria,82,33,5,38,6,82,244,278,-34
Poland,82,22,12,36,12,80,221,269,-48
Italy,82,23,10,37,12,78,243,268,-25
South Korea,82,26,6,36,14,78,232,280,-48
Romania,82,29,5,39,9,77,204,219,-15
Belarus,82,22,10,40,10,74,235,282,-47
Denmark,82,25,8,42,7,73,259,298,-39
Germany,82,21,5,38,18,70,229,297,-68
Sweden,82,17,5,51,9,53,202,325,-123
