game_id,week,home_team,away_team,home_score,away_score,went_ot,winner,loser
1,1,China,Kazakhstan,3,4,0,Kazakhstan,China
2,1,Denmark,Poland,1,6,0,Poland,Denmark
3,1,Great Britain,Canada,2,3,1,Canada,Great Britain
4,1,Ukraine,Norway,2,3,1,Norway,Ukraine
5,1,Belarus,Russia,7,3,0,Belarus,Russia
6,1,Netherlands,Croatia,3,5,0,Croatia,Netherlands
7,1,Slovenia,Finland,4,3,1,Slovenia,Finland
8,1,Czech Republic,Japan,4,1,0,Czech Republic,Japan
9,1,Austria,France,4,3,1,Austria,France
10,1,Italy,Germany,4,3,0,Italy,Germany
11,1,Sweden,Switzerland,6,1,0,Sweden,Switzerland
12,1,Hungary,South Korea,5,4,0,Hungary,South Korea
13,1,Belgium,United States,1,2,0,United States,Belgium
14,1,Estonia,Latvia,3,2,0,Estonia,Latvia
15,1,Lithuania,Romania,2,4,0,Romania,Lithuania
16,1,Spain,Slovakia,4,5,1,Slovakia,Spain
17,2,Denmark,Russia,1,4,0,Russia,Denmark
18,2,Austria,Poland,4,5,0,Poland,Austria
19,2,Croatia,Spain,3,6,0,Spain,Croatia
20,2,Canada,Norway,3,4,1,Norway,Canada
21,2,Sweden,Kazakhstan,3,4,0,Kazakhstan,Sweden
22,2,Great Britain,United States,7,1,0,Great Britain,United States
23,2,Japan,Belarus,2,4,0,Belarus,Japan
24,2,Slovenia,Italy,6,0,0,Slovenia,Italy
25,2,China,Belgium,1,0,0,China,Belgium
26,2,Estonia,Czech Republic,5,2,0,Estonia,Czech Republic
27,2,Finland,Switzerland,4,3,1,Finland,Switzerland
28,2,Ukraine,Germany,1,2,0,Germany,Ukraine
29,2,Latvia,France,8,2,0,Latvia,France
30,2,Netherlands,South Korea,8,4,0,Netherlands,South Korea
31,2,Hungary,Slovakia,3,1,0,Hungary,Slovakia
32,2,Romania,Lithuania,1,3,0,Lithuania,Romania
33,3,Czech Republic,Russia,2,7,0,Russia,Czech Republic
34,3,Croatia,Hungary,5,4,1,Croatia,Hungary
35,3,Belgium,Denmark,3,4,0,Denmark,Belgium
36,3,Spain,China,3,2,0,Spain,China
37,3,Italy,France,5,4,1,Italy,France
38,3,Canada,Estonia,4,3,0,Canada,Estonia
39,3,Japan,South Korea,3,2,0,Japan,South Korea
40,3,Netherlands,Finland,4,2,0,Netherlands,Finland
41,3,Lithuania,Austria,4,2,0,Lithuania,Austria
42,3,United States,Kazakhstan,3,2,0,United States,Kazakhstan
43,3,Poland,Slovakia,1,8,0,Slovakia,Poland
44,3,Belarus,Slovenia,7,2,0,Belarus,Slovenia
45,3,Switzerland,Romania,1,2,0,Romania,Switzerland
46,3,Norway,Ukraine,4,5,1,Ukraine,Norway
47,3,Sweden,Germany,3,4,1,Germany,Sweden
48,3,Great Britain,Latvia,5,4,0,Great Britain,Latvia
49,4,Slovenia,Russia,2,3,0,Russia,Slovenia
50,4,Czech Republic,Lithuania,4,3,1,Czech Republic,Lithuania
51,4,Ukraine,Denmark,2,1,0,Ukraine,Denmark
52,4,France,Estonia,5,3,0,France,Estonia
53,4,Austria,Sweden,2,1,1,Austria,Sweden
54,4,China,Croatia,4,5,1,Croatia,China
55,4,Italy,Germany,5,0,0,Italy,Germany
56,4,Finland,Great Britain,2,3,0,Great Britain,Finland
57,4,South Korea,Norway,4,3,1,South Korea,Norway
