matchweek,home_team,away_team
1,Kramerville,Theodoreberg
1,Port Christiebury,Codyfurt
1,New Jose,West Patriciaside
1,Port Shannon,Bobbyborough
1,West Robertfort,Port Scott
1,Millerport,Riosstad
1,Debraside,North Garymouth
1,Port Stacey,Pachecofurt
1,Port Lisa,Lake Eric
1,Torresport,Port Haroldberg
1,Montgomeryburgh,Amberfurt
1,New Paul,Laurenview
1,North Keithchester,Barnesport
1,Williamview,Bensonshire
1,New Jeffrey,Robertsonport
2,Torresport,Port Shannon
2,New Paul,Port Christiebury
2,New Jose,West Robertfort
2,Debraside,North Keithchester
2,Kramerville,Codyfurt
2,Barnesport,Port Lisa
2,Williamview,Montgomeryburgh
2,Amberfurt,Pachecofurt
2,Riosstad,Port Haroldberg
2,Bobbyborough,Laurenview
2,Lake Eric,Robertsonport
2,West Patriciaside,Theodoreberg
2,North Garymouth,Port Scott
2,Millerport,Bensonshire
2,New Jeffrey,Port Stacey
3,Port Haroldberg,West Robertfort
3,New Jose,Lake Eric
3,Bobbyborough,Port Christiebury
3,Robertsonport,Debraside
3,Port Lisa,Laurenview
3,Amberfurt,Williamview
3,Pachecofurt,Bensonshire
3,Port Scott,Codyfurt
3,Millerport,Port Shannon
3,Kramerville,New Jeffrey
3,New Paul,Port Stacey
3,Montgomeryburgh,Barnesport
3,Riosstad,Torresport
3,North Garymouth,Theodoreberg
3,West Patriciaside,North Keithchester
4,Kramerville,Port Christiebury
4,New Paul,Lake Eric
4,Williamview,Pachecofurt
4,West Robertfort,Theodoreberg
4,Bobbyborough,Port Shannon
4,Laurenview,Barnesport
4,Robertsonport,West Patriciaside
4,Amberfurt,Port Lisa
4,Bensonshire,Codyfurt
4,Montgomeryburgh,New Jose
4,Debraside,Riosstad
4,Torresport,Port Scott
4,Port Stacey,Port Haroldberg
4,North Garymouth,New Jeffrey
4,Millerport,North Keithchester
5,Lake Eric,Williamview
5,Laurenview,Port Christiebury
5,Pachecofurt,Port Scott
5,Debraside,Bobbyborough
5,West Robertfort,Port Haroldberg
5,Barnesport,Port Shannon
5,Port Stacey,West Patriciaside
5,Kramerville,Montgomeryburgh
5,New Jose,Codyfurt
5,North Garymouth,Port Lisa
5,Theodoreberg,Robertsonport
5,North Keithchester,New Paul
5,Bensonshire,Amberfurt
5,Riosstad,Millerport
5,Torresport,New Jeffrey
6,Port Christiebury,Robertsonport
6,Williamview,Amberfurt
6,Pachecofurt,North Keithchester
6,Kramerville,Port Haroldberg
6,Laurenview,New Paul
6,Port Scott,Barnesport
6,Riosstad,Port Shannon
6,West Robertfort,Montgomeryburgh
6,Bensonshire,Debraside
6,Codyfurt,New Jeffrey
6,Port Lisa,Torresport
6,West Patriciaside,Port Stacey
6,Lake Eric,New Jose
6,Millerport,Theodoreberg
6,Bobbyborough,North Garymouth
7,Port Christiebury,Bobbyborough
7,Port Haroldberg,West Patriciaside
7,Barnesport,Amberfurt
7,Kramerville,Port Scott
7,North Garymouth,Laurenview
7,Williamview,New Paul
7,Port Stacey,Port Shannon
7,New Jeffrey,Lake Eric
7,Torresport,Theodoreberg
7,Codyfurt,Millerport
7,Riosstad,Pachecofurt
7,Bensonshire,Montgomeryburgh
7,Port Lisa,Robertsonport
7,North Keithchester,West Robertfort
7,New Jose,Debraside
8,Lake Eric,Kramerville
8,Port Christiebury,New Jose
8,Port Lisa,Port Haroldberg
8,Bobbyborough,Barnesport
8,Robertsonport,North Garymouth
8,New Paul,Debraside
8,Port Shannon,Port Stacey
8,Laurenview,Williamview
8,Pachecofurt,Millerport
8,Riosstad,Montgomeryburgh
8,North Keithchester,Codyfurt
8,Bensonshire,West Patriciaside
8,Port Scott,Torresport
8,Theodoreberg,Amberfurt
8,West Robertfort,New Jeffrey
9,Kramerville,Debraside
9,Port Christiebury,Port Stacey
9,North Keithchester,Bobbyborough
9,Theodoreberg,Barnesport
9,Lake Eric,New Jeffrey
9,West Patriciaside,New Paul
9,Montgomeryburgh,Port Haroldberg
9,Codyfurt,Port Shannon
9,Laurenview,Pachecofurt
9,Williamview,Riosstad
9,North Garymouth,Amberfurt
9,Bensonshire,Millerport
9,New Jose,Port Scott
9,Robertsonport,West Robertfort
9,Torresport,Port Lisa
10,North Keithchester,Kramerville
10,Debraside,Laurenview
10,Port Shannon,New Jose
10,Codyfurt,Barnesport
10,Millerport,Pachecofurt
10,Montgomeryburgh,Torresport
10,Port Scott,Lake Eric
10,New Paul,West Robertfort
10,Bobbyborough,Amberfurt
10,Port Christiebury,Theodoreberg
10,North Garymouth,Riosstad
10,West Patriciaside,Bensonshire
10,Robertsonport,Williamview
10,Port Stacey,Port Lisa
10,Port Haroldberg,New Jeffrey
11,Port Lisa,Kramerville
11,Debraside,Theodoreberg
11,Lake Eric,Laurenview
11,Williamview,Port Shannon
11,Barnesport,New Jose
11,Pachecofurt,Port Haroldberg
11,Montgomeryburgh,Port Stacey
11,Torresport,Port Christiebury
11,Riosstad,North Keithchester
11,Millerport,West Robertfort
11,New Paul,North Garymouth
11,Amberfurt,Codyfurt
11,Bobbyborough,New Jeffrey
11,West Patriciaside,Robertsonport
11,Port Scott,Bensonshire
12,Amberfurt,Debraside
12,Port Stacey,Kramerville
12,Pachecofurt,Barnesport
12,New Jose,Montgomeryburgh
12,Robertsonport,Laurenview
12,Williamview,North Keithchester
12,North Garymouth,Port Christiebury
12,Port Haroldberg,New Paul
12,Port Lisa,Bobbyborough
12,Port Scott,Port Shannon
12,Codyfurt,West Robertfort
12,Theodoreberg,Lake Eric
12,West Patriciaside,Riosstad
12,Torresport,Bensonshire
12,New Jeffrey,Millerport
13,Bobbyborough,Debraside
13,New Jeffrey,Laurenview
13,Port Scott,Kramerville
13,West Patriciaside,New Jose
13,Millerport,Barnesport
13,Port Stacey,Lake Eric
13,Port Shannon,Pachecofurt
13,North Keithchester,Amberfurt
13,North Garymouth,Torresport
13,New Paul,Codyfurt
13,Port Lisa,Port Christiebury
13,Montgomeryburgh,Williamview
13,Port Haroldberg,Robertsonport
13,West Robertfort,Riosstad
13,Bensonshire,Theodoreberg
14,West Patriciaside,Debraside
14,Amberfurt,Kramerville
14,Port Scott,Williamview
14,Laurenview,Theodoreberg
14,Port Christiebury,Barnesport
14,New Jeffrey,Pachecofurt
14,New Jose,New Paul
14,Robertsonport,Millerport
14,Port Haroldberg,Torresport
14,North Garymouth,Codyfurt
14,North Keithchester,Port Stacey
14,West Robertfort,Port Lisa
14,Lake Eric,Port Shannon
14,Riosstad,Bensonshire
14,Montgomeryburgh,Bobbyborough
15,Port Lisa,Debraside
15,Pachecofurt,Kramerville
15,Millerport,Williamview
15,Barnesport,Port Christiebury
15,Port Scott,Laurenview
15,New Jeffrey,New Jose
15,Port Shannon,Robertsonport
15,Lake Eric,Codyfurt
15,Torresport,North Garymouth
15,Port Stacey,North Keithchester
15,Theodoreberg,New Paul
15,Amberfurt,Bensonshire
15,West Robertfort,Bobbyborough
15,Montgomeryburgh,Riosstad
15,West Patriciaside,Port Haroldberg
16,Kramerville,Port Stacey
16,Port Lisa,Barnesport
16,Debraside,Robertsonport
16,Pachecofurt,North Garymouth
16,Port Scott,North Keithchester
16,Theodoreberg,Laurenview
16,Millerport,Montgomeryburgh
16,New Jose,Port Christiebury
16,Williamview,Lake Eric
16,New Paul,Port Shannon
16,Riosstad,Codyfurt
16,Torresport,West Patriciaside
16,New Jeffrey,Amberfurt
16,Bobbyborough,Port Haroldberg
16,Bensonshire,West Robertfort
17,Bobbyborough,Kramerville
17,Debraside,Lake Eric
17,New Jose,North Garymouth
17,Millerport,Port Stacey
17,Port Christiebury,Port Scott
17,Barnesport,Riosstad
17,Robertsonport,Port Shannon
17,New Jeffrey,Montgomeryburgh
17,Williamview,West Robertfort
17,Laurenview,North Keithchester
17,Pachecofurt,Amberfurt
17,West Patriciaside,Codyfurt
17,Bensonshire,New Paul
17,Port Lisa,Theodoreberg
18,Kramerville,Bobbyborough
18,Pachecofurt,Debraside
18,Laurenview,New Jose
18,Port Lisa,Port Scott
18,Port Christiebury,Amberfurt
18,Williamview,North Garymouth
18,Riosstad,Barnesport
18,West Robertfort,Millerport
18,North Keithchester,New Jeffrey
18,Port Stacey,Codyfurt
18,Port Haroldberg,Lake Eric
18,Bensonshire,Robertsonport
18,Port Shannon,Theodoreberg
18,Montgomeryburgh,New Paul
18,West Patriciaside,Torresport
19,New Jeffrey,Kramerville
19,New Jose,Williamview
19,Barnesport,Port Scott
19,Port Lisa,Millerport
19,West Patriciaside,North Garymouth
19,Pachecofurt,Laurenview
19,Amberfurt,Lake Eric
19,Debraside,Bensonshire
19,Port Christiebury,New Paul
19,Bobbyborough,Port Stacey
19,Port Shannon,North Keithchester
19,West Robertfort,Torresport
19,Montgomeryburgh,Robertsonport
19,Codyfurt,Port Haroldberg
19,Theodoreberg,Riosstad
20,Kramerville,Barnesport
20,Torresport,New Jose
20,Port Scott,Riosstad
20,Amberfurt,Millerport
20,Williamview,Codyfurt
20,Laurenview,Lake Eric
20,Robertsonport,Port Christiebury
20,North Garymouth,Bensonshire
20,North Keithchester,Port Lisa
20,Port Stacey,Debraside
20,Montgomeryburgh,Pachecofurt
20,New Paul,New Jeffrey
20,Theodoreberg,West Patriciaside
20,Bobbyborough,West Robertfort
20,Port Haroldberg,Port Shannon
21,Port Christiebury,Kramerville
21,Port Stacey,New Jose
21,Barnesport,Williamview
21,Theodoreberg,Port Scott
21,Millerport,Port Haroldberg
21,Port Lisa,Amberfurt
21,Riosstad,New Jeffrey
21,Montgomeryburgh,Debraside
21,West Patriciaside,Pachecofurt
21,Laurenview,Torresport
21,Bensonshire,Port Shannon
21,Lake Eric,West Robertfort
21,Bobbyborough,Codyfurt
21,Robertsonport,North Keithchester
21,North Garymouth,New Paul
22,Bensonshire,Kramerville
22,Barnesport,Theodoreberg
22,North Keithchester,Williamview
22,Codyfurt,Port Christiebury
22,Robertsonport,Port Scott
22,Millerport,West Patriciaside
22,Laurenview,Debraside
22,Port Lisa,Port Stacey
22,Riosstad,New Paul
22,Port Shannon,New Jeffrey
22,Torresport,Amberfurt
22,Bobbyborough,Lake Eric
22,North Garymouth,Port Haroldberg
22,Pachecofurt,New Jose
22,Montgomeryburgh,West Robertfort
23,Kramerville,Pachecofurt
23,New Jose,Bensonshire
23,Barnesport,Lake Eric
23,Port Christiebury,West Robertfort
23,Port Scott,Port Stacey
23,Williamview,Debraside
23,Port Haroldberg,Millerport
23,Port Lisa,New Jeffrey
23,North Keithchester,Theodoreberg
23,Montgomeryburgh,Codyfurt
23,West Patriciaside,Bobbyborough
23,Robertsonport,Riosstad
23,Port Shannon,New Paul
23,Laurenview,Amberfurt
24,Kramerville,Millerport
24,Port Haroldberg,Barnesport
24,Port Christiebury,Port Shannon
24,Port Scott,Pachecofurt
24,Port Stacey,New Paul
24,Williamview,West Patriciaside
24,Riosstad,Port Lisa
24,North Keithchester,Torresport
24,New Jeffrey,North Garymouth
24,New Jose,Bobbyborough
24,Theodoreberg,West Robertfort
24,Laurenview,Montgomeryburgh
24,Robertsonport,Amberfurt
24,Lake Eric,Debraside
24,Codyfurt,Bensonshire
25,Kramerville,Robertsonport
25,West Patriciaside,Millerport
25,New Paul,Port Scott
25,Port Stacey,West Robertfort
25,Port Shannon,Port Christiebury
25,Theodoreberg,Pachecofurt
25,Debraside,Barnesport
25,Riosstad,Williamview
25,Lake Eric,Port Lisa
25,North Keithchester,New Jose
25,Amberfurt,Bobbyborough
25,Torresport,Montgomeryburgh
25,Bensonshire,New Jeffrey
25,Codyfurt,Laurenview
25,Port Haroldberg,North Garymouth
26,Kramerville,West Robertfort
