game_id,week,home_team,away_team,home_score,away_score,went_ot,winner,loser
1,1,Richardhaven,Pennytown,4,1,0,Richardhaven,Pennytown
2,1,Davistown,Port Kristieberg,4,2,0,Davistown,Port Kristieberg
3,1,West Susanchester,Lake David,4,3,0,West Susanchester,Lake David
4,1,West Zachary,Jordanland,3,2,0,West Zachary,Jordanland
5,1,Port David,West Kimfurt,0,1,0,West Kimfurt,Port David
6,1,North Connorchester,North Chelseamouth,7,1,0,North Connorchester,North Chelseamouth
7,1,West Erin,Jamesmouth,2,3,1,Jamesmouth,West Erin
8,1,West Michaelview,North Brianside,3,2,1,West Michaelview,North Brianside
9,1,Port Chris,Barnesburgh,4,3,0,Port Chris,Barnesburgh
10,1,Jeffreyville,Christopherhaven,2,3,0,Christopherhaven,Jeffreyville
11,1,North Susanberg,Nelsonhaven,4,2,0,North Susanberg,Nelsonhaven
12,1,East Sarahhaven,Hunterborough,6,1,0,East Sarahhaven,Hunterborough
13,1,Luistown,South Lauren,3,4,0,South Lauren,Luistown
14,1,South Samuelberg,South Kelseyton,3,2,1,South Samuelberg,South Kelseyton
15,1,Danielsburgh,Lake Shaunfort,2,4,0,Lake Shaunfort,Danielsburgh
16,2,Jeffreyville,West Zachary,2,3,0,West Zachary,Jeffreyville
17,2,East Sarahhaven,Davistown,2,4,0,Davistown,East Sarahhaven
18,2,West Susanchester,Port David,6,4,0,West Susanchester,Port David
19,2,West Erin,Luistown,4,1,0,West Erin,Luistown
20,2,Richardhaven,Port Kristieberg,5,3,0,Richardhaven,Port Kristieberg
21,2,South Lauren,Port Chris,5,4,1,South Lauren,Port Chris
22,2,South Samuelberg,North Susanberg,4,5,1,North Susanberg,South Samuelberg
23,2,Nelsonhaven,North Brianside,5,6,0,North Brianside,Nelsonhaven
24,2,North Chelseamouth,Christopherhaven,1,2,0,Christopherhaven,North Chelseamouth
25,2,Jordanland,Hunterborough,2,5,0,Hunterborough,Jordanland
26,2,Barnesburgh,Lake Shaunfort,3,4,1,Lake Shaunfort,Barnesburgh
27,2,Lake David,Pennytown,3,2,1,Lake David,Pennytown
28,2,Jamesmouth,West Kimfurt,3,0,0,Jamesmouth,West Kimfurt
29,2,North Connorchester,South Kelseyton,0,1,0,South Kelseyton,North Connorchester
30,2,Danielsburgh,West Michaelview,4,3,0,Danielsburgh,West Michaelview
31,3,Christopherhaven,Port David,3,4,1,Port David,Christopherhaven
32,3,West Susanchester,Barnesburgh,3,0,0,West Susanchester,Barnesburgh
33,3,Jordanland,Davistown,4,2,0,Jordanland,Davistown
34,3,Lake Shaunfort,West Erin,4,0,0,Lake Shaunfort,West Erin
35,3,Port Chris,Hunterborough,2,7,0,Hunterborough,Port Chris
36,3,Nelsonhaven,South Samuelberg,2,3,1,South Samuelberg,Nelsonhaven
37,3,North Brianside,South Kelseyton,1,3,0,South Kelseyton,North Brianside
38,3,West Kimfurt,Port Kristieberg,6,5,0,West Kimfurt,Port Kristieberg
39,3,North Connorchester,West Zachary,1,3,0,West Zachary,North Connorchester
40,3,Richardhaven,Danielsburgh,7,4,0,Richardhaven,Danielsburgh
41,3,East Sarahhaven,West Michaelview,5,0,0,East Sarahhaven,West Michaelview
42,3,North Susanberg,South Lauren,2,3,0,South Lauren,North Susanberg
43,3,North Chelseamouth,Jeffreyville,4,3,0,North Chelseamouth,Jeffreyville
44,3,Jamesmouth,Pennytown,3,5,0,Pennytown,Jamesmouth
45,3,Lake David,Luistown,4,3,0,Lake David,Luistown
46,4,Richardhaven,Davistown,4,2,0,Richardhaven,Davistown
47,4,East Sarahhaven,Barnesburgh,7,1,0,East Sarahhaven,Barnesburgh
48,4,South Samuelberg,North Brianside,2,4,0,North Brianside,South Samuelberg
49,4,Port David,Pennytown,4,3,1,Port David,Pennytown
50,4,Jordanland,West Zachary,0,5,0,West Zachary,Jordanland
51,4,Hunterborough,South Lauren,5,1,0,Hunterborough,South Lauren
52,4,Lake Shaunfort,Lake David,4,3,1,Lake Shaunfort,Lake David
53,4,Nelsonhaven,Port Chris,3,2,1,Nelsonhaven,Port Chris
54,4,South Kelseyton,Port Kristieberg,1,5,0,Port Kristieberg,South Kelseyton
55,4,North Susanberg,West Susanchester,4,1,0,North Susanberg,West Susanchester
56,4,West Erin,North Chelseamouth,3,2,1,West Erin,North Chelseamouth
57,4,Jeffreyville,West Kimfurt,2,1,0,Jeffreyville,West Kimfurt
58,4,West Michaelview,Christopherhaven,6,5,0,West Michaelview,Christopherhaven
59,4,Jamesmouth,Danielsburgh,2,3,0,Danielsburgh,Jamesmouth
60,4,North Connorchester,Luistown,3,2,0,North Connorchester,Luistown
61,5,Barnesburgh,South Samuelberg,5,1,0,Barnesburgh,South Samuelberg
62,5,Hunterborough,Davistown,4,1,0,Hunterborough,Davistown
63,5,North Brianside,West Kimfurt,3,6,0,West Kimfurt,North Brianside
64,5,West Erin,Jordanland,3,2,0,West Erin,Jordanland
65,5,Port David,Christopherhaven,3,0,0,Port David,Christopherhaven
66,5,South Lauren,West Zachary,1,3,0,West Zachary,South Lauren
67,5,West Michaelview,Lake David,4,5,0,Lake David,West Michaelview
68,5,Richardhaven,North Susanberg,2,3,1,North Susanberg,Richardhaven
69,5,West Susanchester,Port Kristieberg,2,7,0,Port Kristieberg,West Susanchester
70,5,Jamesmouth,Port Chris,4,5,0,Port Chris,Jamesmouth
71,5,Pennytown,Lake Shaunfort,4,3,0,Pennytown,Lake Shaunfort
72,5,Luistown,East Sarahhaven,2,1,1,Luistown,East Sarahhaven
73,5,South Kelseyton,Nelsonhaven,7,3,0,South Kelseyton,Nelsonhaven
74,5,North Chelseamouth,North Connorchester,2,7,0,North Connorchester,North Chelseamouth
75,5,Jeffreyville,Danielsburgh,2,3,0,Danielsburgh,Jeffreyville
76,6,Davistown,Lake Shaunfort,3,2,0,Davistown,Lake Shaunfort
77,6,South Samuelberg,Nelsonhaven,4,2,0,South Samuelberg,Nelsonhaven
78,6,North Brianside,Luistown,4,2,0,North Brianside,Luistown
79,6,Richardhaven,Christopherhaven,6,5,1,Richardhaven,Christopherhaven
80,6,Hunterborough,East Sarahhaven,9,3,0,Hunterborough,East Sarahhaven
81,6,West Kimfurt,South Lauren,5,4,0,West Kimfurt,South Lauren
82,6,North Chelseamouth,West Zachary,7,6,1,North Chelseamouth,West Zachary
83,6,Port David,North Susanberg,2,1,1,Port David,North Susanberg
84,6,South Kelseyton,West Erin,6,5,1,South Kelseyton,West Erin
85,6,Port Kristieberg,Danielsburgh,4,2,0,Port Kristieberg,Danielsburgh
86,6,Port Chris,Jeffreyville,0,1,0,Jeffreyville,Port Chris
87,6,Lake David,West Michaelview,2,1,1,Lake David,West Michaelview
88,6,Barnesburgh,West Susanchester,5,6,0,West Susanchester,Barnesburgh
89,6,North Connorchester,Pennytown,6,5,1,North Connorchester,Pennytown
90,6,Jordanland,Jamesmouth,2,1,0,Jordanland,Jamesmouth
91,7,Davistown,Jordanland,6,1,0,Davistown,Jordanland
92,7,Christopherhaven,Lake David,4,3,1,Christopherhaven,Lake David
93,7,South Lauren,Nelsonhaven,5,2,0,South Lauren,Nelsonhaven
94,7,Richardhaven,West Kimfurt,5,6,1,West Kimfurt,Richardhaven
95,7,Jamesmouth,Hunterborough,4,5,1,Hunterborough,Jamesmouth
96,7,South Samuelberg,East Sarahhaven,3,0,0,South Samuelberg,East Sarahhaven
97,7,West Michaelview,West Zachary,3,2,0,West Michaelview,West Zachary
98,7,Danielsburgh,Barnesburgh,5,6,1,Barnesburgh,Danielsburgh
99,7,Jeffreyville,Pennytown,4,2,0,Jeffreyville,Pennytown
100,7,Port Kristieberg,North Connorchester,6,4,0,Port Kristieberg,North Connorchester
101,7,North Chelseamouth,North Brianside,4,5,0,North Brianside,North Chelseamouth
102,7,South Kelseyton,North Susanberg,3,1,0,South Kelseyton,North Susanberg
103,7,Port Chris,Lake Shaunfort,4,3,0,Port Chris,Lake Shaunfort
104,7,Luistown,Port David,0,6,0,Port David,Luistown
105,7,West Susanchester,West Erin,5,6,0,West Erin,West Susanchester
106,8,Barnesburgh,Richardhaven,2,3,1,Richardhaven,Barnesburgh
107,8,Davistown,West Susanchester,7,3,0,Davistown,West Susanchester
108,8,Port Chris,Christopherhaven,4,0,0,Port Chris,Christopherhaven
109,8,Jordanland,South Lauren,0,6,0,South Lauren,Jordanland
110,8,Lake Shaunfort,Jamesmouth,4,3,1,Lake Shaunfort,Jamesmouth
111,8,East Sarahhaven,West Erin,1,0,0,East Sarahhaven,West Erin
112,8,West Zachary,West Michaelview,1,9,0,West Michaelview,West Zachary
113,8,Hunterborough,South Samuelberg,6,4,0,Hunterborough,South Samuelberg
114,8,North Brianside,North Connorchester,4,5,0,North Connorchester,North Brianside
115,8,North Chelseamouth,North Susanberg,2,1,0,North Chelseamouth,North Susanberg
116,8,Luistown,Port Kristieberg,4,3,1,Luistown,Port Kristieberg
117,8,South Kelseyton,Lake David,6,5,0,South Kelseyton,Lake David
118,8,West Kimfurt,Jeffreyville,3,2,0,West Kimfurt,Jeffreyville
119,8,Pennytown,Nelsonhaven,3,7,0,Nelsonhaven,Pennytown
120,8,Port David,Danielsburgh,3,2,0,Port David,Danielsburgh
121,9,Richardhaven,West Erin,1,5,0,West Erin,Richardhaven
122,9,Davistown,West Michaelview,1,2,0,West Michaelview,Davistown
123,9,Luistown,Jordanland,3,2,1,Luistown,Jordanland
124,9,Pennytown,South Lauren,4,3,0,Pennytown,South Lauren
125,9,Barnesburgh,Danielsburgh,1,2,1,Danielsburgh,Barnesburgh
126,9,Lake David,East Sarahhaven,4,1,0,Lake David,East Sarahhaven
127,9,North Susanberg,Christopherhaven,6,1,0,North Susanberg,Christopherhaven
128,9,Port Kristieberg,West Zachary,2,6,0,West Zachary,Port Kristieberg
129,9,Hunterborough,North Brianside,6,3,0,Hunterborough,North Brianside
130,9,South Samuelberg,North Chelseamouth,3,4,0,North Chelseamouth,South Samuelberg
131,9,Jamesmouth,Nelsonhaven,1,7,0,Nelsonhaven,Jamesmouth
132,9,South Kelseyton,North Connorchester,3,2,0,South Kelseyton,North Connorchester
133,9,West Susanchester,West Kimfurt,3,4,0,West Kimfurt,West Susanchester
134,9,Lake Shaunfort,Port David,2,0,0,Lake Shaunfort,Port David
135,9,Jeffreyville,Port Chris,6,2,0,Jeffreyville,Port Chris
136,10,Luistown,Richardhaven,2,5,0,Richardhaven,Luistown
137,10,West Erin,Hunterborough,3,2,0,West Erin,Hunterborough
138,10,West Zachary,West Susanchester,2,3,0,West Susanchester,West Zachary
139,10,Port Kristieberg,South Lauren,3,4,1,South Lauren,Port Kristieberg
140,10,North Connorchester,North Brianside,4,2,0,North Connorchester,North Brianside
141,10,North Susanberg,Jeffreyville,5,4,0,North Susanberg,Jeffreyville
142,10,West Kimfurt,Barnesburgh,4,3,1,West Kimfurt,Barnesburgh
143,10,East Sarahhaven,Port David,2,5,0,Port David,East Sarahhaven
144,10,Jordanland,Nelsonhaven,5,2,0,Jordanland,Nelsonhaven
145,10,Davistown,Pennytown,5,3,0,Davistown,Pennytown
146,10,Jamesmouth,North Chelseamouth,3,4,1,North Chelseamouth,Jamesmouth
147,10,Lake David,South Kelseyton,0,4,0,South Kelseyton,Lake David
148,10,Lake Shaunfort,South Samuelberg,0,6,0,South Samuelberg,Lake Shaunfort
149,10,West Michaelview,Port Chris,1,2,0,Port Chris,West Michaelview
150,10,Christopherhaven,Danielsburgh,3,5,0,Danielsburgh,Christopherhaven
151,11,Port Chris,Richardhaven,4,3,1,Port Chris,Richardhaven
152,11,West Erin,Pennytown,2,4,0,Pennytown,West Erin
153,11,Barnesburgh,Hunterborough,2,3,0,Hunterborough,Barnesburgh
154,11,South Samuelberg,West Zachary,5,3,0,South Samuelberg,West Zachary
155,11,South Lauren,West Susanchester,6,3,0,South Lauren,West Susanchester
156,11,North Brianside,Christopherhaven,5,4,0,North Brianside,Christopherhaven
157,11,North Susanberg,West Michaelview,1,2,0,West Michaelview,North Susanberg
158,11,Jeffreyville,Davistown,0,2,0,Davistown,Jeffreyville
159,11,North Chelseamouth,Luistown,8,2,0,North Chelseamouth,Luistown
160,11,North Connorchester,Port David,2,4,0,Port David,North Connorchester
161,11,East Sarahhaven,Jamesmouth,6,4,0,East Sarahhaven,Jamesmouth
162,11,Nelsonhaven,Port Kristieberg,4,3,1,Nelsonhaven,Port Kristieberg
163,11,Jordanland,Danielsburgh,3,7,0,Danielsburgh,Jordanland
164,11,Lake David,Lake Shaunfort,3,0,0,Lake David,Lake Shaunfort
165,11,West Kimfurt,South Kelseyton,2,5,0,South Kelseyton,West Kimfurt
166,12,Nelsonhaven,West Erin,5,6,0,West Erin,Nelsonhaven
167,12,West Michaelview,Richardhaven,2,3,0,Richardhaven,West Michaelview
168,12,North Brianside,South Lauren,3,2,1,North Brianside,South Lauren
169,12,West Susanchester,North Susanberg,2,5,0,North Susanberg,West Susanchester
170,12,Lake Shaunfort,Hunterborough,3,0,0,Lake Shaunfort,Hunterborough
171,12,South Samuelberg,Luistown,5,2,0,South Samuelberg,Luistown
172,12,Jamesmouth,Davistown,2,3,1,Davistown,Jamesmouth
173,12,Christopherhaven,East Sarahhaven,2,3,0,East Sarahhaven,Christopherhaven
174,12,Port Chris,Jordanland,6,3,0,Port Chris,Jordanland
175,12,West Kimfurt,West Zachary,3,0,0,West Kimfurt,West Zachary
176,12,Port Kristieberg,Port David,3,4,1,Port David,Port Kristieberg
177,12,Pennytown,Barnesburgh,2,1,0,Pennytown,Barnesburgh
178,12,Lake David,North Chelseamouth,5,6,1,North Chelseamouth,Lake David
179,12,Jeffreyville,South Kelseyton,2,6,0,South Kelseyton,Jeffreyville
180,12,Danielsburgh,North Connorchester,1,7,0,North Connorchester,Danielsburgh
181,13,Jordanland,West Erin,4,3,1,Jordanland,West Erin
182,13,Danielsburgh,Hunterborough,0,4,0,Hunterborough,Danielsburgh
183,13,West Kimfurt,Richardhaven,2,6,0,Richardhaven,West Kimfurt
184,13,Lake David,West Susanchester,4,6,0,West Susanchester,Lake David
185,13,North Connorchester,South Lauren,2,6,0,South Lauren,North Connorchester
186,13,West Michaelview,Barnesburgh,1,2,0,Barnesburgh,West Michaelview
187,13,West Zachary,North Brianside,6,5,1,West Zachary,North Brianside
188,13,Luistown,Nelsonhaven,1,7,0,Nelsonhaven,Luistown
189,13,Jamesmouth,Jeffreyville,3,1,0,Jamesmouth,Jeffreyville
190,13,East Sarahhaven,Port Kristieberg,6,2,0,East Sarahhaven,Port Kristieberg
191,13,Port Chris,Davistown,4,5,0,Davistown,Port Chris
192,13,North Susanberg,South Samuelberg,5,2,0,North Susanberg,South Samuelberg
193,13,Christopherhaven,Lake Shaunfort,1,5,0,Lake Shaunfort,Christopherhaven
194,13,Port David,North Chelseamouth,0,4,0,North Chelseamouth,Port David
195,13,South Kelseyton,Pennytown,4,3,0,South Kelseyton,Pennytown
196,14,Lake David,West Erin,5,4,1,Lake David,West Erin
197,14,Nelsonhaven,Richardhaven,1,5,0,Richardhaven,Nelsonhaven
198,14,West Kimfurt,South Samuelberg,4,0,0,West Kimfurt,South Samuelberg
199,14,Hunterborough,Pennytown,5,6,1,Pennytown,Hunterborough
200,14,Davistown,South Lauren,2,0,0,Davistown,South Lauren
201,14,Danielsburgh,North Brianside,5,2,0,Danielsburgh,North Brianside
202,14,West Susanchester,East Sarahhaven,3,1,0,West Susanchester,East Sarahhaven
203,14,Lake Shaunfort,North Connorchester,3,5,0,North Connorchester,Lake Shaunfort
204,14,Christopherhaven,Jeffreyville,5,2,0,Christopherhaven,Jeffreyville
205,14,Jamesmouth,Port Kristieberg,1,3,0,Port Kristieberg,Jamesmouth
206,14,Luistown,West Michaelview,2,5,0,West Michaelview,Luistown
207,14,Port David,Port Chris,6,1,0,Port David,Port Chris
208,14,Barnesburgh,West Zachary,6,5,1,Barnesburgh,West Zachary
209,14,North Chelseamouth,South Kelseyton,3,4,0,South Kelseyton,North Chelseamouth
210,14,North Susanberg,Jordanland,4,1,0,North Susanberg,Jordanland
211,15,Port Chris,West Erin,3,2,1,Port Chris,West Erin
212,15,North Brianside,Richardhaven,4,2,0,North Brianside,Richardhaven
213,15,North Connorchester,South Samuelberg,1,7,0,South Samuelberg,North Connorchester
214,15,South Lauren,Davistown,6,1,0,South Lauren,Davistown
215,15,West Kimfurt,Hunterborough,3,2,0,West Kimfurt,Hunterborough
216,15,Danielsburgh,West Susanchester,6,5,1,Danielsburgh,West Susanchester
217,15,West Zachary,Lake Shaunfort,5,3,0,West Zachary,Lake Shaunfort
218,15,Barnesburgh,Port Kristieberg,4,6,0,Port Kristieberg,Barnesburgh
219,15,Jeffreyville,Jamesmouth,6,3,0,Jeffreyville,Jamesmouth
220,15,West Michaelview,Luistown,3,2,1,West Michaelview,Luistown
221,15,Pennytown,East Sarahhaven,3,5,0,East Sarahhaven,Pennytown
222,15,Nelsonhaven,South Kelseyton,4,2,0,Nelsonhaven,South Kelseyton
223,15,Port David,Jordanland,4,3,1,Port David,Jordanland
224,15,North Susanberg,North Chelseamouth,0,5,0,North Chelseamouth,North Susanberg
225,15,Lake David,Christopherhaven,5,2,0,Lake David,Christopherhaven
226,16,Richardhaven,West Michaelview,2,3,1,West Michaelview,Richardhaven
227,16,Port Chris,South Lauren,2,1,0,Port Chris,South Lauren
228,16,West Erin,Lake Shaunfort,2,3,1,Lake Shaunfort,West Erin
229,16,North Brianside,Jamesmouth,7,8,1,Jamesmouth,North Brianside
230,16,West Kimfurt,Luistown,2,3,0,Luistown,West Kimfurt
231,16,Pennytown,Hunterborough,2,1,0,Pennytown,Hunterborough
232,16,North Connorchester,North Susanberg,8,7,0,North Connorchester,North Susanberg
233,16,West Susanchester,Davistown,4,3,0,West Susanchester,Davistown
234,16,South Samuelberg,Barnesburgh,4,5,0,Barnesburgh,South Samuelberg
235,16,East Sarahhaven,West Zachary,3,2,0,East Sarahhaven,West Zachary
236,16,North Chelseamouth,Port Kristieberg,3,4,1,Port Kristieberg,North Chelseamouth
237,16,Jeffreyville,Lake David,7,5,0,Jeffreyville,Lake David
238,16,Danielsburgh,Nelsonhaven,6,5,1,Danielsburgh,Nelsonhaven
239,16,Jordanland,Christopherhaven,2,4,0,Christopherhaven,Jordanland
240,16,South Kelseyton,Port David,6,5,1,South Kelseyton,Port David
241,17,Jordanland,Richardhaven,4,10,0,Richardhaven,Jordanland
242,17,West Erin,Barnesburgh,5,2,0,West Erin,Barnesburgh
243,17,West Susanchester,Jamesmouth,1,4,0,Jamesmouth,West Susanchester
244,17,North Connorchester,West Michaelview,3,5,0,West Michaelview,North Connorchester
245,17,Davistown,West Kimfurt,4,1,0,Davistown,West Kimfurt
246,17,South Lauren,North Chelseamouth,3,1,0,South Lauren,North Chelseamouth
247,17,Lake Shaunfort,West Zachary,5,6,0,West Zachary,Lake Shaunfort
248,17,Danielsburgh,North Susanberg,5,7,0,North Susanberg,Danielsburgh
249,17,South Samuelberg,Port David,3,2,1,South Samuelberg,Port David
250,17,Hunterborough,Luistown,3,1,0,Hunterborough,Luistown
251,17,North Brianside,Nelsonhaven,2,3,1,Nelsonhaven,North Brianside
252,17,Lake David,Port Kristieberg,2,3,0,Port Kristieberg,Lake David
253,17,South Kelseyton,East Sarahhaven,3,2,1,South Kelseyton,East Sarahhaven
254,17,Port Chris,Pennytown,1,2,0,Pennytown,Port Chris
255,18,Richardhaven,Jordanland,6,4,0,Richardhaven,Jordanland
256,18,North Brianside,West Erin,1,2,0,West Erin,North Brianside
257,18,Hunterborough,West Susanchester,5,3,0,Hunterborough,West Susanchester
258,18,Port Chris,West Kimfurt,5,3,0,Port Chris,West Kimfurt
259,18,Davistown,Nelsonhaven,3,2,1,Davistown,Nelsonhaven
260,18,South Samuelberg,Jamesmouth,2,3,0,Jamesmouth,South Samuelberg
261,18,North Chelseamouth,South Lauren,5,4,1,North Chelseamouth,South Lauren
262,18,Port David,North Connorchester,6,3,0,Port David,North Connorchester
263,18,Luistown,Danielsburgh,3,0,0,Luistown,Danielsburgh
264,18,West Michaelview,Port Kristieberg,5,2,0,West Michaelview,Port Kristieberg
265,18,Christopherhaven,Barnesburgh,1,7,0,Barnesburgh,Christopherhaven
266,18,South Kelseyton,Lake Shaunfort,3,4,1,Lake Shaunfort,South Kelseyton
267,18,West Zachary,Pennytown,4,0,0,West Zachary,Pennytown
268,18,North Susanberg,East Sarahhaven,2,1,0,North Susanberg,East Sarahhaven
269,18,Lake David,Jeffreyville,8,1,0,Lake David,Jeffreyville
270,19,Danielsburgh,Richardhaven,5,2,0,Danielsburgh,Richardhaven
271,19,West Susanchester,South Samuelberg,3,4,1,South Samuelberg,West Susanchester
272,19,South Lauren,West Kimfurt,3,4,1,West Kimfurt,South Lauren
273,19,Port Chris,North Connorchester,3,2,1,Port Chris,North Connorchester
274,19,Lake David,Jamesmouth,1,3,0,Jamesmouth,Lake David
275,19,North Brianside,Hunterborough,3,1,0,North Brianside,Hunterborough
276,19,Nelsonhaven,Barnesburgh,5,4,1,Nelsonhaven,Barnesburgh
277,19,West Erin,South Kelseyton,3,4,1,South Kelseyton,West Erin
278,19,Davistown,East Sarahhaven,3,1,0,Davistown,East Sarahhaven
279,19,Jordanland,West Michaelview,2,1,1,Jordanland,West Michaelview
280,19,West Zachary,Luistown,1,4,0,Luistown,West Zachary
281,19,Port David,Jeffreyville,2,1,0,Port David,Jeffreyville
282,19,North Susanberg,Lake Shaunfort,4,5,1,Lake Shaunfort,North Susanberg
283,19,Port Kristieberg,Christopherhaven,3,2,1,Port Kristieberg,Christopherhaven
284,19,Pennytown,North Chelseamouth,3,2,0,Pennytown,North Chelseamouth
285,20,Richardhaven,South Lauren,5,2,0,Richardhaven,South Lauren
286,20,Jeffreyville,West Susanchester,4,3,1,Jeffreyville,West Susanchester
287,20,West Kimfurt,North Chelseamouth,2,3,0,North Chelseamouth,West Kimfurt
288,20,Nelsonhaven,North Connorchester,3,5,0,North Connorchester,Nelsonhaven
289,20,South Samuelberg,Port Kristieberg,1,3,0,Port Kristieberg,South Samuelberg
290,20,Hunterborough,Barnesburgh,8,1,0,Hunterborough,Barnesburgh
291,20,Lake Shaunfort,Davistown,5,2,0,Lake Shaunfort,Davistown
292,20,Jamesmouth,South Kelseyton,2,3,1,South Kelseyton,Jamesmouth
293,20,Luistown,Port Chris,5,4,1,Luistown,Port Chris
294,20,West Michaelview,West Erin,3,2,0,West Michaelview,West Erin
295,20,North Susanberg,North Brianside,2,5,0,North Brianside,North Susanberg
296,20,East Sarahhaven,Danielsburgh,7,2,0,East Sarahhaven,Danielsburgh
297,20,Pennytown,Lake David,2,3,1,Lake David,Pennytown
298,20,Jordanland,Port David,2,6,0,Port David,Jordanland
299,20,Christopherhaven,West Zachary,2,6,0,West Zachary,Christopherhaven
300,21,Davistown,Richardhaven,5,1,0,Davistown,Richardhaven
301,21,West Michaelview,West Susanchester,4,5,0,West Susanchester,West Michaelview
302,21,South Lauren,South Samuelberg,3,2,0,South Lauren,South Samuelberg
303,21,Pennytown,West Kimfurt,6,3,0,Pennytown,West Kimfurt
304,21,North Connorchester,Christopherhaven,8,4,0,North Connorchester,Christopherhaven
305,21,Port Chris,Nelsonhaven,4,5,0,Nelsonhaven,Port Chris
306,21,North Chelseamouth,Danielsburgh,7,1,0,North Chelseamouth,Danielsburgh
307,21,North Susanberg,West Erin,2,3,1,West Erin,North Susanberg
308,21,Lake David,North Brianside,1,3,0,North Brianside,Lake David
309,21,Hunterborough,Jeffreyville,7,6,1,Hunterborough,Jeffreyville
310,21,South Kelseyton,West Zachary,4,1,0,South Kelseyton,West Zachary
311,21,Barnesburgh,Port David,6,2,0,Barnesburgh,Port David
312,21,Jordanland,Port Kristieberg,4,3,1,Jordanland,Port Kristieberg
313,21,Lake Shaunfort,Luistown,8,2,0,Lake Shaunfort,Luistown
314,21,Jamesmouth,East Sarahhaven,7,4,0,Jamesmouth,East Sarahhaven
315,22,South Kelseyton,Richardhaven,6,4,0,South Kelseyton,Richardhaven
316,22,South Lauren,Pennytown,3,2,1,South Lauren,Pennytown
317,22,Luistown,South Samuelberg,2,3,0,South Samuelberg,Luistown
318,22,Port Kristieberg,Davistown,4,3,0,Port Kristieberg,Davistown
319,22,Lake Shaunfort,West Kimfurt,3,1,0,Lake Shaunfort,West Kimfurt
320,22,North Connorchester,Lake David,3,4,1,Lake David,North Connorchester
321,22,Hunterborough,West Erin,3,1,0,Hunterborough,West Erin
322,22,Port Chris,West Michaelview,3,2,0,Port Chris,West Michaelview
323,22,North Chelseamouth,East Sarahhaven,6,2,0,North Chelseamouth,East Sarahhaven
324,22,West Zachary,Danielsburgh,4,3,0,West Zachary,Danielsburgh
325,22,Jeffreyville,Nelsonhaven,1,3,0,Nelsonhaven,Jeffreyville
326,22,Jordanland,Barnesburgh,0,3,0,Barnesburgh,Jordanland
327,22,Jamesmouth,Christopherhaven,0,3,0,Christopherhaven,Jamesmouth
328,22,North Brianside,West Susanchester,4,5,0,West Susanchester,North Brianside
329,22,North Susanberg,Port David,6,5,0,North Susanberg,Port David
330,23,Richardhaven,North Brianside,5,1,0,Richardhaven,North Brianside
331,23,West Susanchester,South Kelseyton,9,2,0,West Susanchester,South Kelseyton
332,23,South Lauren,Barnesburgh,1,2,0,Barnesburgh,South Lauren
333,23,Davistown,Port David,2,3,0,Port David,Davistown
334,23,West Kimfurt,West Michaelview,2,3,0,West Michaelview,West Kimfurt
335,23,South Samuelberg,West Erin,4,3,1,South Samuelberg,West Erin
336,23,Christopherhaven,North Connorchester,2,1,1,Christopherhaven,North Connorchester
337,23,Port Chris,Danielsburgh,3,2,1,Port Chris,Danielsburgh
338,23,Luistown,Pennytown,6,7,1,Pennytown,Luistown
339,23,North Susanberg,Port Kristieberg,8,3,0,North Susanberg,Port Kristieberg
340,23,Lake David,Jordanland,7,2,0,Lake David,Jordanland
341,23,Lake Shaunfort,North Chelseamouth,2,7,0,North Chelseamouth,Lake Shaunfort
342,23,West Zachary,East Sarahhaven,0,2,0,East Sarahhaven,West Zachary
343,23,Hunterborough,Nelsonhaven,6,2,0,Hunterborough,Nelsonhaven
344,24,Richardhaven,North Connorchester,5,2,0,Richardhaven,North Connorchester
345,24,Christopherhaven,South Lauren,2,5,0,South Lauren,Christopherhaven
346,24,Davistown,West Zachary,2,4,0,West Zachary,Davistown
347,24,West Kimfurt,North Brianside,3,4,1,North Brianside,West Kimfurt
348,24,West Michaelview,East Sarahhaven,3,2,1,West Michaelview,East Sarahhaven
349,24,South Samuelberg,Lake David,3,1,0,South Samuelberg,Lake David
350,24,North Chelseamouth,Port Chris,4,5,0,Port Chris,North Chelseamouth
351,24,Luistown,Jeffreyville,1,2,1,Jeffreyville,Luistown
352,24,Danielsburgh,Jamesmouth,5,4,1,Danielsburgh,Jamesmouth
353,24,West Susanchester,Jordanland,7,1,0,West Susanchester,Jordanland
354,24,Pennytown,Port David,3,2,0,Pennytown,Port David
355,24,Hunterborough,North Susanberg,3,4,0,North Susanberg,Hunterborough
