matchweek,home_team,away_team
1,Richardhaven,Pennytown
1,Davistown,Port Kristieberg
1,West Susanchester,Lake David
1,West Zachary,Jordanland
1,Port David,West Kimfurt
1,North Connorchester,North Chelseamouth
1,West Erin,Jamesmouth
1,West Michaelview,North Brianside
1,Port Chris,Barnesburgh
1,Jeffreyville,Christopherhaven
1,North Susanberg,Nelsonhaven
1,East Sarahhaven,Hunterborough
1,Luistown,South Lauren
1,South Samuelberg,South Kelseyton
1,Danielsburgh,Lake Shaunfort
2,Jeffreyville,West Zachary
2,East Sarahhaven,Davistown
2,West Susanchester,Port David
2,West Erin,Luistown
2,Richardhaven,Port Kristieberg
2,South Lauren,Port Chris
2,South Samuelberg,North Susanberg
2,Nelsonhaven,North Brianside
2,North Chelseamouth,Christopherhaven
2,Jordanland,Hunterborough
2,Barnesburgh,Lake Shaunfort
2,Lake David,Pennytown
2,Jamesmouth,West Kimfurt
2,North Connorchester,South Kelseyton
2,Danielsburgh,West Michaelview
3,Christopherhaven,Port David
3,West Susanchester,Barnesburgh
3,Jordanland,Davistown
3,Lake Shaunfort,West Erin
3,Port Chris,Hunterborough
3,Nelsonhaven,South Samuelberg
3,North Brianside,South Kelseyton
3,West Kimfurt,Port Kristieberg
3,North Connorchester,West Zachary
3,Richardhaven,Danielsburgh
3,East Sarahhaven,West Michaelview
3,North Susanberg,South Lauren
3,North Chelseamouth,Jeffreyville
3,Jamesmouth,Pennytown
3,Lake David,Luistown
4,Richardhaven,Davistown
4,East Sarahhaven,Barnesburgh
4,South Samuelberg,North Brianside
4,Port David,Pennytown
4,Jordanland,West Zachary
4,Hunterborough,South Lauren
4,Lake Shaunfort,Lake David
4,Nelsonhaven,Port Chris
4,South Kelseyton,Port Kristieberg
4,North Susanberg,West Susanchester
4,West Erin,North Chelseamouth
4,Jeffreyville,West Kimfurt
4,West Michaelview,Christopherhaven
4,Jamesmouth,Danielsburgh
4,North Connorchester,Luistown
5,Barnesburgh,South Samuelberg
5,Hunterborough,Davistown
5,North Brianside,West Kimfurt
5,West Erin,Jordanland
5,Port David,Christopherhaven
5,South Lauren,West Zachary
5,West Michaelview,Lake David
5,Richardhaven,North Susanberg
5,West Susanchester,Port Kristieberg
5,Jamesmouth,Port Chris
5,Pennytown,Lake Shaunfort
5,Luistown,East Sarahhaven
5,South Kelseyton,Nelsonhaven
5,North Chelseamouth,North Connorchester
5,Jeffreyville,Danielsburgh
6,Davistown,Lake Shaunfort
6,South Samuelberg,Nelsonhaven
6,North Brianside,Luistown
6,Richardhaven,Christopherhaven
6,Hunterborough,East Sarahhaven
6,West Kimfurt,South Lauren
6,North Chelseamouth,West Zachary
6,Port David,North Susanberg
6,South Kelseyton,West Erin
6,Port Kristieberg,Danielsburgh
6,Port Chris,Jeffreyville
6,Lake David,West Michaelview
6,Barnesburgh,West Susanchester
6,North Connorchester,Pennytown
6,Jordanland,Jamesmouth
7,Davistown,Jordanland
7,Christopherhaven,Lake David
7,South Lauren,Nelsonhaven
7,Richardhaven,West Kimfurt
7,Jamesmouth,Hunterborough
7,South Samuelberg,East Sarahhaven
7,West Michaelview,West Zachary
7,Danielsburgh,Barnesburgh
7,Jeffreyville,Pennytown
7,Port Kristieberg,North Connorchester
7,North Chelseamouth,North Brianside
7,South Kelseyton,North Susanberg
7,Port Chris,Lake Shaunfort
7,Luistown,Port David
7,West Susanchester,West Erin
8,Barnesburgh,Richardhaven
8,Davistown,West Susanchester
8,Port Chris,Christopherhaven
8,Jordanland,South Lauren
8,Lake Shaunfort,Jamesmouth
8,East Sarahhaven,West Erin
8,West Zachary,West Michaelview
8,Hunterborough,South Samuelberg
8,North Brianside,North Connorchester
8,North Chelseamouth,North Susanberg
8,Luistown,Port Kristieberg
8,South Kelseyton,Lake David
8,West Kimfurt,Jeffreyville
8,Pennytown,Nelsonhaven
8,Port David,Danielsburgh
9,Richardhaven,West Erin
9,Davistown,West Michaelview
9,Luistown,Jordanland
9,Pennytown,South Lauren
9,Barnesburgh,Danielsburgh
9,Lake David,East Sarahhaven
9,North Susanberg,Christopherhaven
9,Port Kristieberg,West Zachary
9,Hunterborough,North Brianside
9,South Samuelberg,North Chelseamouth
9,Jamesmouth,Nelsonhaven
9,South Kelseyton,North Connorchester
9,West Susanchester,West Kimfurt
9,Lake Shaunfort,Port David
9,Jeffreyville,Port Chris
10,Luistown,Richardhaven
10,West Erin,Hunterborough
10,West Zachary,West Susanchester
10,Port Kristieberg,South Lauren
10,North Connorchester,North Brianside
10,North Susanberg,Jeffreyville
10,West Kimfurt,Barnesburgh
10,East Sarahhaven,Port David
10,Jordanland,Nelsonhaven
10,Davistown,Pennytown
10,Jamesmouth,North Chelseamouth
10,Lake David,South Kelseyton
10,Lake Shaunfort,South Samuelberg
10,West Michaelview,Port Chris
10,Christopherhaven,Danielsburgh
11,Port Chris,Richardhaven
11,West Erin,Pennytown
11,Barnesburgh,Hunterborough
11,South Samuelberg,West Zachary
11,South Lauren,West Susanchester
11,North Brianside,Christopherhaven
11,North Susanberg,West Michaelview
11,Jeffreyville,Davistown
11,North Chelseamouth,Luistown
11,North Connorchester,Port David
11,East Sarahhaven,Jamesmouth
11,Nelsonhaven,Port Kristieberg
11,Jordanland,Danielsburgh
11,Lake David,Lake Shaunfort
11,West Kimfurt,South Kelseyton
12,Nelsonhaven,West Erin
12,West Michaelview,Richardhaven
12,North Brianside,South Lauren
12,West Susanchester,North Susanberg
12,Lake Shaunfort,Hunterborough
12,South Samuelberg,Luistown
12,Jamesmouth,Davistown
12,Christopherhaven,East Sarahhaven
12,Port Chris,Jordanland
12,West Kimfurt,West Zachary
12,Port Kristieberg,Port David
12,Pennytown,Barnesburgh
12,Lake David,North Chelseamouth
12,Jeffreyville,South Kelseyton
12,Danielsburgh,North Connorchester
13,Jordanland,West Erin
13,Danielsburgh,Hunterborough
13,West Kimfurt,Richardhaven
13,Lake David,West Susanchester
13,North Connorchester,South Lauren
13,West Michaelview,Barnesburgh
13,West Zachary,North Brianside
13,Luistown,Nelsonhaven
13,Jamesmouth,Jeffreyville
13,East Sarahhaven,Port Kristieberg
13,Port Chris,Davistown
13,North Susanberg,South Samuelberg
13,Christopherhaven,Lake Shaunfort
13,Port David,North Chelseamouth
13,South Kelseyton,Pennytown
14,Lake David,West Erin
14,Nelsonhaven,Richardhaven
14,West Kimfurt,South Samuelberg
14,Hunterborough,Pennytown
14,Davistown,South Lauren
14,Danielsburgh,North Brianside
14,West Susanchester,East Sarahhaven
14,Lake Shaunfort,North Connorchester
14,Christopherhaven,Jeffreyville
14,Jamesmouth,Port Kristieberg
14,Luistown,West Michaelview
14,Port David,Port Chris
14,Barnesburgh,West Zachary
14,North Chelseamouth,South Kelseyton
14,North Susanberg,Jordanland
15,Port Chris,West Erin
15,North Brianside,Richardhaven
15,North Connorchester,South Samuelberg
15,South Lauren,Davistown
15,West Kimfurt,Hunterborough
15,Danielsburgh,West Susanchester
15,West Zachary,Lake Shaunfort
15,Barnesburgh,Port Kristieberg
15,Jeffreyville,Jamesmouth
15,West Michaelview,Luistown
15,Pennytown,East Sarahhaven
15,Nelsonhaven,South Kelseyton
15,Port David,Jordanland
15,North Susanberg,North Chelseamouth
15,Lake David,Christopherhaven
16,Richardhaven,West Michaelview
16,Port Chris,South Lauren
