team,GP,W,OTW,L,OTL,PTS,GF,GA,GD
South Kelseyton,58,33,12,10,3,93,224,159,65
Hunterborough,58,29,9,16,4,80,224,163,61
West Michaelview,58,24,8,18,8,72,185,160,25
Richardhaven,58,26,7,20,5,71,210,195,15
West Zachary,58,27,6,20,5,71,185,172,13
Lake Shaunfort,58,23,10,21,4,70,197,170,27
Port David,58,26,7,21,4,70,206,185,21
South Samuelberg,58,22,11,21,4,70,189,177,12
Davistown,58,25,7,22,4,68,169,150,19
Nelsonhaven,58,22,9,21,6,68,213,206,7
Lake David,58,23,8,21,6,68,181,182,-1
Port Kristieberg,58,26,4,21,7,67,219,205,14
Jamesmouth,58,22,5,18,13,67,195,190,5
North Susanberg,58,24,4,20,10,66,179,162,17
South Lauren,58,24,5,22,7,65,178,153,25
North Chelseamouth,58,25,4,22,7,65,210,187,23
West Kimfurt,58,23,8,24,3,65,167,177,-10
East Sarahhaven,58,24,4,23,7,63,183,175,8
West Erin,58,21,4,20,13,63,182,185,-3
North Brianside,58,23,5,24,6,62,221,219,2
West Susanchester,58,23,4,23,8,62,201,208,-7
Barnesburgh,58,19,6,22,11,61,178,186,-8
Danielsburgh,58,21,8,26,3,61,200,217,-17
North Connorchester,58,20,5,23,10,60,195,204,-9
Port Chris,58,19,7,25,7,59,172,206,-34
Jeffreyville,58,19,8,27,4,58,171,187,-16
Pennytown,58,20,3,26,9,55,175,216,-41
Christopherhaven,58,14,8,30,6,50,181,233,-52
Luistown,58,12,7,31,8,46,155,212,-57
Jordanland,58,14,4,35,5,41,139,243,-104
