team,GP,W,L,OTL,PTS,GF,GA,GD
Lithuania,82,48,16,9,123,279,183,96
Croatia,82,50,20,5,119,329,235,94
Slovakia,82,39,22,3,117,256,196,60
Great Britain,82,43,21,6,116,300,243,57
Russia,82,43,21,7,115,283,198,85
Norway,82,43,24,5,111,283,213,70
Finland,82,36,26,8,104,301,246,55
Latvia,82,40,27,6,104,301,259,42
Estonia,82,38,26,10,102,269,238,31
Switzerland,82,36,28,10,98,271,248,23
United States,82,33,30,8,96,263,240,23
Canada,82,35,29,10,96,249,230,19
Ukraine,82,37,32,5,95,245,253,-8
Netherlands,82,30,30,11,93,259,257,2
Italy,82,32,33,7,91,276,266,10
South Korea,82,34,31,11,91,274,276,-2
Belgium,82,34,31,12,90,231,221,10
Spain,82,26,32,12,88,269,294,-25
France,82,33,34,9,87,282,286,-4
China,82,26,35,8,86,235,242,-7
Romania,82,27,32,15,85,191,220,-29
Belarus,82,30,37,6,84,240,272,-32
Slovenia,82,27,40,5,79,280,311,-31
Poland,82,25,37,11,79,242,302,-60
Czech Republic,82,31,38,10,78,267,285,-18
Kazakhstan,82,26,41,9,73,213,243,-30
Japan,82,24,42,8,72,225,273,-48
Germany,82,24,41,10,72,219,275,-56
Sweden,82,21,45,8,66,260,329,-69
Austria,82,27,47,4,66,242,314,-72
Hungary,82,20,42,14,66,226,298,-72
Denmark,82,18,46,14,58,236,350,-114
